type,latitude,longitude,altitude
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1653.90
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.00
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.10
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
T,40.0001,-105.2614,1654.20
