type,latitude,longitude,altitude
T,40.0148,-105.2530,170.60
T,40.0148,-105.2530,170.70
T,40.0148,-105.2530,170.60
T,40.0148,-105.2530,170.60
T,40.0148,-105.2530,170.60
T,40.0148,-105.2530,170.60
T,40.0148,-105.2530,170.70
T,40.0148,-105.2530,170.60
T,40.0148,-105.2530,170.60
T,40.0148,-105.2530,170.60
T,40.0148,-105.2530,170.60
T,40.0148,-105.2530,170.60
T,40.0148,-105.2530,170.60
T,40.0148,-105.2530,170.60
T,40.0148,-105.2530,170.60
T,40.0148,-105.2530,170.60
T,40.0065,-105.2616,1614.40
T,40.0065,-105.2616,1627.80
T,40.0064,-105.2617,1636.70
T,40.0064,-105.2618,1646.10
T,40.0063,-105.2618,1652.80
T,40.0063,-105.2619,1662.60
T,40.0063,-105.2619,1665.50
T,40.0063,-105.2619,1664.30
T,40.0063,-105.2619,1665.60
T,40.0063,-105.2619,1665.90
T,40.0063,-105.2620,1666.60
T,40.0063,-105.2620,1667.20
T,40.0063,-105.2619,1666.90
T,40.0063,-105.2619,1667.00
T,40.0063,-105.2619,1667.00
T,40.0063,-105.2619,1666.30
T,40.0063,-105.2619,1664.90
T,40.0063,-105.2619,1664.50
T,40.0063,-105.2619,1663.10
T,40.0063,-105.2619,1661.90
T,40.0063,-105.2619,1661.30
T,40.0063,-105.2619,1660.80
T,40.0063,-105.2619,1659.50
T,40.0063,-105.2619,1659.50
T,40.0063,-105.2619,1659.50
T,40.0063,-105.2619,1659.20
T,40.0063,-105.2619,1659.20
T,40.0063,-105.2619,1659.30
T,40.0063,-105.2619,1659.30
T,40.0063,-105.2619,1659.30
T,40.0063,-105.2619,1659.30
T,40.0063,-105.2619,1659.30
T,40.0063,-105.2619,1659.30
T,40.0063,-105.2619,1659.30
T,40.0063,-105.2619,1659.30
T,40.0063,-105.2619,1659.40
T,40.0063,-105.2619,1659.40
T,40.0063,-105.2618,1659.30
T,40.0063,-105.2618,1659.10
T,40.0064,-105.2618,1658.80
T,40.0064,-105.2618,1658.20
T,40.0064,-105.2618,1657.80
T,40.0064,-105.2618,1657.30
T,40.0064,-105.2618,1657.00
T,40.0064,-105.2618,1656.70
T,40.0064,-105.2618,1656.60
T,40.0065,-105.2618,1656.00
T,40.0065,-105.2618,1655.70
T,40.0065,-105.2618,1655.40
T,40.0065,-105.2618,1655.30
T,40.0065,-105.2618,1655.20
T,40.0065,-105.2618,1655.10
T,40.0065,-105.2618,1655.00
T,40.0065,-105.2618,1655.00
T,40.0066,-105.2618,1655.00
T,40.0066,-105.2618,1654.70
T,40.0066,-105.2618,1654.40
T,40.0066,-105.2618,1653.90
T,40.0066,-105.2618,1653.60
T,40.0066,-105.2618,1653.20
T,40.0066,-105.2618,1653.10
T,40.0066,-105.2618,1652.40
T,40.0066,-105.2618,1652.00
T,40.0066,-105.2618,1651.70
T,40.0066,-105.2618,1651.30
T,40.0066,-105.2618,1651.30
T,40.0066,-105.2618,1650.70
T,40.0066,-105.2618,1651.80
T,40.0066,-105.2618,1652.40
T,40.0066,-105.2618,1652.40
T,40.0066,-105.2618,1652.10
T,40.0067,-105.2618,1651.80
T,40.0067,-105.2618,1651.90
T,40.0067,-105.2618,1651.60
T,40.0067,-105.2618,1651.40
