type,latitude,longitude,altitude
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.40
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.50
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.60
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.70
T,40.0073,-105.2618,1651.80
T,40.0073,-105.2618,1651.80
T,40.0073,-105.2618,1652.00
T,40.0073,-105.2618,1652.10
T,40.0073,-105.2618,1652.00
T,40.0073,-105.2619,1651.90
T,40.0073,-105.2619,1651.80
T,40.0073,-105.2619,1651.80
T,40.0073,-105.2619,1651.90
T,40.0073,-105.2619,1652.30
T,40.0073,-105.2619,1652.70
T,40.0073,-105.2619,1653.00
T,40.0073,-105.2619,1653.10
T,40.0073,-105.2619,1653.10
T,40.0073,-105.2619,1653.10
T,40.0073,-105.2619,1653.10
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.60
T,40.0073,-105.2618,1653.60
T,40.0073,-105.2618,1653.60
T,40.0073,-105.2618,1653.30
T,40.0073,-105.2618,1653.30
T,40.0073,-105.2618,1653.30
T,40.0073,-105.2618,1653.40
T,40.0073,-105.2618,1653.40
T,40.0073,-105.2618,1653.40
T,40.0073,-105.2618,1653.40
T,40.0073,-105.2618,1653.40
T,40.0073,-105.2618,1653.40
T,40.0073,-105.2618,1653.40
T,40.0073,-105.2618,1653.40
T,40.0073,-105.2618,1653.40
T,40.0073,-105.2618,1653.40
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.60
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.60
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2618,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.60
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.60
T,40.0073,-105.2619,1653.60
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.50
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
