%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83194.938,301.028,0.963,25.007,301.049,298.742,-6.701,-3.009,-1.496,-1.044,0.541,-4.981,-5.125,-5.457,-2.568,-0.208,1.690,-5.310,0.733,-0.627,-2.695,-4.953,-0.267,-544.798,-289.718,14.557,23.087,-11.933
83190.906,301.027,0.963,25.005,300.970,299.383,-7.025,-3.678,-1.710,-1.670,-0.324,-4.255,-5.232,-4.708,-2.568,-0.834,1.690,-4.991,2.199,-0.522,-1.866,-3.940,-0.288,-544.798,-289.718,14.557,23.071,-11.913
83186.875,301.028,0.963,24.999,300.812,299.062,-7.025,-3.232,-1.390,-0.835,-0.216,-3.736,-4.271,-5.136,-3.237,-0.104,1.268,-4.885,1.780,-0.209,-1.969,-4.052,-0.267,-544.798,-289.718,14.557,23.103,-11.933
83182.844,301.027,0.963,25.009,301.049,298.902,-5.945,-4.235,-1.283,-0.939,0.216,-3.943,-5.019,-4.708,-2.791,-0.417,1.902,-5.629,1.780,-0.627,-2.177,-4.277,-0.257,-544.798,-289.718,14.557,23.087,-11.933
83186.875,301.028,0.963,25.005,300.970,299.062,-6.809,-3.121,-2.352,-1.148,-0.324,-4.670,-5.019,-4.387,-2.121,-0.938,1.373,-4.885,0.838,-0.209,-2.591,-3.827,-0.246,-544.798,-289.718,14.557,23.087,-11.913
83186.875,301.022,0.963,25.005,300.970,298.902,-6.809,-3.232,-1.176,-1.148,-0.648,-3.840,-5.125,-4.708,-2.456,0.104,1.796,-5.204,1.989,-0.940,-2.280,-3.940,-0.246,-544.798,-289.718,14.557,23.054,-11.913
83190.906,301.025,0.963,25.005,300.970,298.742,-6.377,-3.789,-1.283,-0.939,0.000,-4.255,-3.951,-5.350,-2.233,-0.313,1.479,-5.310,1.466,0.419,-3.213,-3.490,-0.257,-544.798,-289.718,14.557,23.071,-11.923
83186.875,301.023,0.963,25.005,300.970,298.902,-7.025,-4.793,-2.245,-0.731,-0.324,-4.359,-5.339,-5.671,-3.014,-0.521,1.690,-5.629,1.256,-0.418,-2.177,-4.728,-0.257,-544.798,-289.718,14.557,23.087,-11.913
83178.812,301.027,0.963,25.003,300.891,298.742,-6.593,-3.121,-2.031,-1.044,-0.324,-3.944,-4.591,-4.922,-2.233,-1.355,1.690,-5.522,1.466,-0.418,-2.177,-3.715,-0.267,-544.798,-289.718,14.557,23.087,-11.923
83178.812,301.027,0.963,25.003,300.891,298.742,-6.809,-3.232,-1.390,-1.566,0.324,-3.944,-4.271,-5.029,-2.568,0.209,1.162,-5.204,1.570,-0.731,-2.073,-4.052,-0.246,-544.798,-289.718,14.557,23.087,-11.923
83174.781,301.025,0.963,25.004,300.891,298.742,-6.809,-3.678,-1.710,-0.939,-0.864,-4.567,-4.698,-5.885,-2.903,-0.729,1.479,-5.629,1.466,-0.627,-2.798,-4.052,-0.246,-544.798,-289.718,14.557,23.103,-11.913
83174.781,301.025,0.963,25.007,300.970,298.902,-6.593,-3.678,-2.459,-1.357,-0.432,-4.670,-4.912,-5.243,-2.456,-1.146,1.373,-5.522,1.152,-0.940,-2.902,-4.728,-0.257,-544.798,-289.718,14.557,23.087,-11.913
83174.781,301.025,0.963,25.010,301.049,298.902,-7.566,-3.121,-2.352,-1.775,-0.864,-4.567,-5.979,-5.778,-3.461,-1.146,1.268,-5.310,1.361,-0.209,-2.798,-3.827,-0.257,-544.798,-289.718,14.557,23.087,-11.933
83178.812,301.028,0.963,25.010,301.049,298.902,-7.242,-3.455,-1.924,-0.626,-0.432,-4.048,-4.378,-6.099,-2.568,-0.313,1.268,-4.779,1.361,-0.104,-2.695,-4.728,-0.257,-544.798,-289.718,14.557,23.103,-11.923
83174.781,301.025,0.963,25.007,300.970,299.223,-6.377,-4.347,-1.817,-0.731,-0.324,-4.463,-4.805,-5.029,-3.349,-0.521,1.373,-5.310,1.361,-0.313,-3.109,-4.615,-0.236,-544.798,-289.718,14.557,23.071,-11.913
83174.781,301.027,0.963,25.007,300.970,299.062,-7.566,-3.009,-2.565,-1.253,-0.216,-5.086,-4.805,-5.564,-3.014,-0.938,1.162,-5.310,0.733,-0.418,-2.280,-4.277,-0.246,-544.798,-289.718,14.557,23.071,-11.923
83170.749,301.023,0.963,25.011,301.049,298.902,-6.269,-3.344,-1.069,-1.566,-0.864,-4.255,-5.446,-5.136,-2.456,-0.417,1.690,-5.098,1.675,-0.522,-2.073,-4.277,-0.257,-544.798,-289.718,14.557,23.087,-11.903
83166.718,301.025,0.962,25.011,301.049,298.902,-6.593,-3.567,-1.283,-0.731,-0.756,-3.736,-4.805,-5.778,-2.456,-0.104,1.585,-5.310,1.675,-0.104,-2.591,-3.602,-0.246,-544.798,-289.718,14.557,23.087,-11.933
83166.718,301.025,0.962,25.008,300.970,298.902,-6.593,-4.012,-1.817,-0.939,0.973,-3.840,-5.446,-5.029,-3.014,-0.208,2.219,-5.204,1.780,-0.418,-2.280,-4.052,-0.257,-544.798,-289.718,14.557,23.071,-11.903
83166.718,301.027,0.962,25.015,301.128,299.062,-6.485,-3.455,-1.817,-0.835,-0.540,-3.944,-5.018,-4.708,-2.121,-1.667,1.479,-4.673,1.675,0.000,-2.902,-3.489,-0.257,-544.798,-289.718,14.557,23.087,-11.923
83166.718,301.023,0.962,25.011,301.049,298.902,-7.133,-3.901,-1.283,-1.148,-0.108,-3.944,-4.805,-5.350,-2.568,-0.417,0.634,-5.310,1.570,-0.522,-2.177,-3.715,-0.257,-544.798,-289.718,14.557,23.071,-11.923
83178.812,301.023,0.963,25.006,300.970,298.742,-6.161,-3.455,-1.496,-0.522,-0.540,-4.048,-4.591,-5.029,-2.791,0.000,2.113,-5.629,1.675,0.000,-2.798,-4.390,-0.246,-544.798,-289.718,14.557,23.071,-11.903
