%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82449.130,301.425,0.953,15.039,107.760,106.639,-7.458,-4.347,-3.206,-1.983,-0.972,-5.915,-5.873,-5.565,-3.795,-1.146,0.739,-5.522,0.314,-1.254,-2.902,-6.078,-6.293,-544.798,-289.718,14.557,-90.098,-50.038
82453.161,301.423,0.953,15.033,107.681,106.959,-7.025,-4.012,-2.244,-1.774,-1.079,-4.670,-6.193,-5.351,-3.795,-1.667,0.528,-5.734,1.256,-1.045,-3.420,-4.840,-6.261,-544.798,-289.718,14.557,-90.115,-50.018
82449.130,301.425,0.953,15.033,107.681,106.799,-7.566,-4.681,-2.779,-1.879,-0.864,-4.981,-5.766,-5.886,-3.907,-1.250,-0.105,-5.946,0.733,-1.045,-3.213,-5.740,-6.261,-544.798,-289.718,14.557,-90.098,-49.997
82449.130,301.422,0.953,15.033,107.681,106.799,-7.134,-5.461,-2.886,-2.088,-1.079,-5.500,-6.086,-5.458,-4.018,-1.563,0.845,-6.690,0.942,-1.045,-3.006,-5.065,-6.261,-544.798,-289.718,14.557,-90.115,-50.028
82441.067,301.423,0.953,15.034,107.681,106.799,-7.782,-3.901,-3.420,-1.775,-0.756,-5.189,-6.193,-5.565,-3.907,-1.667,-0.000,-6.265,0.105,-1.045,-3.109,-5.177,-6.261,-544.798,-289.718,14.557,-90.098,-50.018
82449.130,301.427,0.953,15.028,107.602,106.639,-7.458,-4.570,-2.565,-2.505,-1.403,-5.189,-6.193,-5.672,-3.572,-1.042,0.106,-6.371,0.942,-2.090,-2.902,-5.177,-6.272,-544.798,-289.718,14.557,-90.098,-50.038
82453.161,301.423,0.953,15.033,107.681,106.959,-7.350,-4.347,-2.672,-2.192,-0.864,-5.396,-5.446,-6.528,-3.683,-0.834,0.634,-6.477,0.628,-1.045,-3.731,-5.515,-6.251,-544.798,-289.718,14.557,-90.131,-50.038
82449.130,301.423,0.953,15.050,107.918,106.959,-6.809,-5.127,-2.672,-2.088,-0.648,-5.604,-5.766,-6.314,-3.795,-1.459,0.106,-6.265,1.047,-0.940,-3.213,-6.415,-6.272,-544.798,-289.718,14.557,-90.115,-50.018
82449.130,301.423,0.953,15.022,107.523,106.799,-7.674,-4.681,-2.993,-1.983,-0.540,-4.774,-6.300,-5.886,-3.460,-2.084,0.739,-6.159,0.942,-1.254,-3.109,-4.840,-6.261,-544.798,-289.718,14.557,-90.131,-50.018
82437.036,301.423,0.953,15.029,107.602,107.119,-7.350,-4.012,-2.565,-2.923,-0.864,-4.877,-5.766,-6.742,-3.349,-0.938,-0.105,-6.477,1.361,-1.567,-3.317,-5.965,-6.251,-544.798,-289.718,14.557,-90.082,-50.038
