%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83751.270,298.866,0.976,25.403,315.000,312.471,-8.322,-5.684,-3.848,-2.401,-1.943,-5.396,-6.300,-5.885,-4.242,-1.667,0.845,-5.947,0.838,-0.836,-3.420,-4.953,-9.666,11.339,10.381,-4.325,180.056,-45.089
83751.270,298.867,0.976,25.410,315.158,312.791,-7.350,-4.235,-2.993,-2.088,-1.403,-6.019,-6.407,-5.778,-4.019,-2.084,0.211,-6.160,0.419,-1.567,-3.524,-5.853,-9.635,11.319,10.371,-4.324,180.023,-45.069
83759.333,298.867,0.976,25.402,315.000,312.791,-7.998,-4.681,-2.779,-2.818,-1.295,-5.189,-7.154,-5.778,-3.572,-2.188,0.634,-6.372,1.152,-2.194,-3.524,-5.291,-9.645,11.358,10.381,-4.324,180.072,-45.069
83759.333,298.869,0.976,25.412,315.237,312.791,-8.863,-5.461,-3.207,-2.714,-2.483,-6.434,-6.513,-7.491,-4.689,-2.188,-0.844,-7.009,0.105,-1.985,-4.042,-5.966,-9.656,11.339,10.371,-4.324,180.023,-45.069
83751.270,298.866,0.976,25.419,315.395,312.952,-8.214,-5.684,-3.634,-2.088,-1.187,-4.877,-5.873,-5.457,-4.242,-1.250,1.162,-6.160,1.152,-0.940,-2.695,-5.178,-9.656,11.339,10.371,-4.323,180.056,-45.079
83751.270,298.866,0.976,25.413,315.237,312.952,-7.890,-3.901,-3.314,-2.192,-1.727,-5.916,-6.727,-6.314,-3.796,-2.813,-0.527,-6.372,-0.627,-2.090,-3.731,-5.741,-9.656,11.339,10.351,-4.322,180.072,-45.069
83759.333,298.866,0.976,25.415,315.316,313.112,-8.755,-4.793,-3.314,-3.236,-1.619,-5.708,-6.940,-5.564,-4.019,-1.667,0.211,-6.797,1.256,-1.985,-3.317,-5.178,-9.666,11.300,10.330,-4.323,180.007,-45.048
83759.333,298.864,0.976,25.415,315.316,313.112,-8.214,-4.904,-3.527,-2.401,-2.051,-5.812,-6.620,-7.170,-4.465,-2.292,-0.105,-7.540,0.419,-1.881,-3.939,-6.078,-9.687,11.300,10.300,-4.322,180.056,-45.059
83755.302,298.864,0.976,25.415,315.316,313.112,-8.214,-5.238,-3.848,-2.505,-1.295,-5.604,-6.193,-5.992,-4.800,-1.459,0.211,-6.584,0.419,-1.149,-3.317,-5.628,-9.666,11.242,10.249,-4.321,180.072,-45.079
83751.270,298.863,0.976,25.426,315.553,313.112,-7.782,-4.681,-3.527,-2.818,-1.835,-5.916,-6.513,-6.635,-3.796,-2.709,-0.527,-6.691,-0.105,-1.881,-4.042,-5.853,-9.666,11.165,10.218,-4.322,180.056,-45.059
