%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82586.197,301.862,0.953,15.046,107.887,106.790,-7.349,-4.347,-2.565,-2.401,-1.187,-5.395,-5.980,-5.993,-3.907,-1.563,-0.211,-5.628,0.942,-1.463,-2.902,-4.614,-6.261,-544.798,-289.718,14.557,-89.991,-40.028
82578.135,301.865,0.953,15.036,107.729,106.630,-7.132,-4.570,-3.420,-1.879,-1.727,-5.292,-5.446,-5.886,-3.572,-0.833,0.951,-6.053,0.419,-0.209,-3.213,-5.290,-6.261,-544.798,-289.718,14.557,-90.007,-40.028
82570.072,301.864,0.953,15.048,107.887,106.630,-7.457,-4.570,-3.099,-1.983,-0.756,-5.499,-5.446,-5.458,-3.907,-1.146,0.845,-5.416,0.838,-0.940,-2.799,-5.965,-6.261,-544.798,-289.718,14.557,-89.991,-40.028
82578.135,301.864,0.953,15.042,107.808,106.950,-7.241,-4.347,-3.099,-2.087,-1.187,-4.877,-6.620,-5.779,-3.572,-1.459,0.845,-5.628,1.361,-0.940,-3.006,-4.840,-6.241,-544.798,-289.718,14.557,-89.991,-40.048
82578.135,301.864,0.953,15.036,107.729,106.790,-7.565,-4.124,-1.817,-1.774,-0.972,-5.188,-5.232,-6.207,-4.018,-1.042,0.739,-6.159,1.047,-0.940,-2.902,-5.515,-6.261,-544.798,-289.718,14.557,-90.007,-40.048
82582.166,301.860,0.953,15.058,108.045,106.790,-7.132,-4.904,-2.778,-1.774,-0.648,-5.188,-5.766,-5.244,-4.242,-1.250,0.739,-6.584,1.047,-0.418,-2.799,-5.515,-6.251,-544.798,-289.718,14.557,-89.991,-40.048
82578.135,301.862,0.953,15.036,107.729,106.950,-7.565,-4.012,-3.313,-1.774,-1.079,-5.395,-5.766,-5.993,-2.902,-1.667,0.845,-6.053,0.838,-1.254,-3.006,-4.952,-6.251,-544.798,-289.718,14.557,-90.007,-40.028
82574.103,301.860,0.953,15.047,107.887,106.790,-7.565,-4.458,-3.099,-2.505,-0.756,-4.980,-6.300,-5.672,-3.572,-1.250,0.106,-6.053,0.733,-1.045,-3.006,-5.177,-6.251,-544.798,-289.718,14.557,-89.974,-40.048
82578.135,301.860,0.953,15.030,107.650,106.790,-7.241,-4.681,-2.885,-1.670,-1.727,-5.084,-6.193,-6.207,-4.018,-1.563,0.951,-7.115,0.524,-1.567,-3.524,-4.502,-6.272,-544.798,-289.718,14.557,-90.007,-40.038
82574.103,301.862,0.953,15.020,107.492,106.790,-7.781,-4.235,-3.313,-2.401,-0.324,-5.603,-5.980,-5.672,-4.018,-1.250,0.845,-5.628,0.209,-1.254,-2.695,-5.740,-6.261,-544.798,-289.718,14.557,-89.991,-40.048
