%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83831.898,301.768,0.968,25.047,303.562,291.664,-8.322,-5.238,-3.420,-3.340,-2.267,-6.018,-7.261,-6.528,-4.354,-2.709,-0.738,-7.645,-0.000,-2.925,-4.146,-6.190,-14.091,26.996,24.882,-1.252,145.881,27.992
83831.898,301.772,0.968,25.044,303.483,291.824,-8.863,-6.242,-3.847,-3.027,-1.835,-6.018,-6.941,-6.956,-4.354,-2.397,-0.633,-7.645,-0.000,-1.776,-4.353,-5.740,-14.060,26.977,24.943,-1.247,145.914,27.992
83831.898,301.770,0.968,25.043,303.483,292.144,-8.214,-5.907,-3.206,-2.192,-1.403,-5.914,-6.834,-6.314,-5.024,-2.188,-0.633,-7.645,-0.418,-2.299,-4.042,-6.640,-14.070,26.900,24.994,-1.242,145.898,27.982
83831.898,301.767,0.968,25.043,303.483,291.824,-8.971,-5.127,-4.168,-3.235,-2.159,-6.018,-7.368,-6.849,-4.354,-2.917,-0.211,-7.221,0.105,-1.567,-3.524,-6.078,-14.081,26.842,25.034,-1.238,145.930,28.002
83831.898,301.768,0.968,25.050,303.641,292.464,-8.755,-5.016,-3.420,-3.235,-1.511,-6.122,-6.941,-6.528,-4.465,-1.980,-0.633,-7.752,-0.418,-2.508,-3.939,-6.078,-14.070,26.765,25.075,-1.232,145.930,28.002
83827.867,301.773,0.968,25.044,303.483,292.624,-8.322,-5.796,-4.168,-3.444,-2.591,-6.330,-6.941,-6.635,-4.800,-2.397,0.211,-7.539,0.314,-2.090,-3.939,-5.965,-14.081,26.727,25.126,-1.227,145.930,28.002
83827.867,301.770,0.968,25.044,303.483,292.464,-8.431,-5.127,-4.061,-2.714,-1.511,-6.641,-6.834,-6.314,-4.465,-2.084,0.000,-7.221,-0.627,-1.358,-4.042,-7.091,-14.070,26.611,25.146,-1.223,145.914,27.982
83827.867,301.772,0.968,25.047,303.562,292.785,-8.971,-5.238,-4.061,-3.444,-2.483,-5.707,-8.008,-6.849,-5.359,-3.230,-0.949,-7.221,-0.418,-2.612,-4.457,-6.190,-14.070,26.573,25.176,-1.218,145.946,27.992
83827.867,301.772,0.968,25.051,303.641,293.265,-9.187,-6.019,-3.741,-3.340,-1.835,-5.811,-6.620,-6.635,-4.800,-1.876,-0.422,-6.796,0.105,-1.358,-3.939,-6.078,-14.060,26.515,25.166,-1.212,145.898,28.012
83827.867,301.773,0.968,25.047,303.562,293.265,-8.322,-6.353,-3.954,-2.922,-1.619,-5.707,-6.834,-6.849,-5.135,-2.292,-0.211,-7.539,0.524,-1.881,-3.317,-6.303,-14.070,26.496,25.197,-1.209,145.930,27.982
83823.836,301.770,0.968,25.048,303.562,293.265,-8.647,-5.238,-4.916,-3.444,-2.159,-6.538,-7.154,-6.314,-4.577,-3.126,-0.949,-7.221,-1.150,-1.672,-4.353,-6.078,-14.070,26.380,25.227,-1.205,145.930,27.992
83831.898,301.772,0.968,25.050,303.641,293.425,-8.539,-5.016,-3.848,-3.757,-1.619,-5.915,-6.620,-6.314,-4.019,-1.771,-0.422,-7.008,-0.000,-2.821,-4.146,-6.415,-14.070,26.323,25.217,-1.199,145.914,28.002
83823.836,301.772,0.968,25.051,303.641,293.425,-8.647,-4.904,-3.634,-2.922,-2.051,-6.538,-7.154,-6.956,-4.800,-2.397,-0.527,-7.008,-0.105,-2.090,-5.182,-6.528,-14.060,26.246,25.217,-1.195,145.930,28.002
83823.836,301.775,0.968,25.048,303.562,293.425,-8.431,-5.684,-4.061,-3.131,-2.051,-6.434,-7.154,-6.956,-5.359,-2.397,-0.211,-6.902,-0.000,-2.194,-4.250,-7.091,-14.060,26.207,25.227,-1.191,145.914,28.002
