%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83888.338,301.636,0.969,14.966,108.506,105.053,-8.647,-5.684,-3.741,-3.549,-1.943,-5.915,-7.261,-6.742,-4.688,-1.771,-1.265,-7.327,0.209,-3.448,-3.524,-5.965,-11.686,-544.798,-289.718,14.557,59.965,20.034
83888.338,301.636,0.969,14.966,108.506,105.053,-8.322,-6.353,-3.954,-2.818,-2.591,-6.641,-6.727,-6.528,-4.800,-2.188,-0.316,-6.796,0.314,-1.672,-4.250,-6.528,-11.686,-544.798,-289.718,14.557,59.965,20.055
83888.338,301.639,0.969,14.966,108.506,105.053,-8.755,-6.019,-4.275,-2.714,-1.727,-6.330,-7.047,-6.100,-5.246,-2.605,-0.316,-7.539,-0.314,-1.985,-3.835,-6.640,-11.675,-544.798,-289.718,14.557,59.981,20.055
83896.401,301.636,0.969,14.955,108.348,105.213,-8.863,-5.684,-3.954,-3.549,-2.375,-5.604,-6.834,-6.849,-4.688,-2.917,0.211,-7.114,-0.105,-2.403,-3.731,-6.078,-11.686,-544.798,-289.718,14.557,59.948,20.055
83892.369,301.636,0.969,14.971,108.585,104.893,-8.863,-5.573,-3.527,-3.444,-1.943,-5.707,-6.513,-6.849,-5.023,-2.084,-0.949,-7.008,-0.105,-2.612,-4.353,-6.528,-11.675,-544.798,-289.718,14.557,59.981,20.065
83884.307,301.638,0.969,14.956,108.348,105.053,-7.890,-6.130,-3.954,-3.027,-2.159,-6.434,-6.834,-6.849,-5.023,-2.501,-0.211,-7.858,-0.000,-1.985,-4.457,-6.190,-11.686,-544.798,-289.718,14.557,59.965,20.044
83888.338,301.639,0.969,14.955,108.348,104.893,-8.322,-4.793,-4.703,-3.340,-2.159,-6.849,-6.941,-6.742,-4.465,-2.709,-0.844,-7.221,-0.941,-2.925,-4.250,-6.640,-11.696,-544.798,-289.718,14.557,59.948,20.044
83888.338,301.639,0.969,14.955,108.348,104.733,-8.322,-5.350,-3.848,-3.549,-2.375,-5.811,-7.581,-6.528,-4.688,-2.292,0.106,-7.114,0.209,-2.821,-3.835,-6.415,-11.665,-544.798,-289.718,14.557,59.932,20.065
83888.338,301.636,0.969,14.955,108.348,104.733,-8.755,-5.015,-4.382,-3.131,-1.943,-6.226,-7.368,-7.277,-4.800,-2.917,-0.738,-7.433,-0.105,-2.821,-4.561,-6.640,-11.696,-544.798,-289.718,14.557,59.932,20.044
83896.401,301.638,0.969,14.955,108.348,104.893,-8.322,-6.242,-4.168,-3.235,-2.267,-6.123,-7.261,-6.528,-5.135,-2.605,-0.738,-7.858,-0.314,-2.194,-3.939,-6.640,-11.696,-544.798,-289.718,14.557,59.965,20.055
83888.338,301.638,0.969,14.966,108.506,104.572,-8.971,-5.684,-4.809,-2.922,-1.835,-6.330,-7.261,-6.956,-3.907,-3.647,-1.054,-7.114,-0.314,-2.403,-4.250,-6.190,-11.717,-544.798,-289.718,14.557,59.981,20.055
83884.307,301.638,0.969,14.967,108.506,104.733,-8.755,-5.796,-3.848,-3.653,-1.943,-6.330,-7.474,-7.063,-4.912,-3.126,-1.371,-7.539,-0.418,-2.821,-4.250,-6.640,-11.686,-544.798,-289.718,14.557,59.948,20.065
83888.338,301.635,0.969,14.961,108.427,104.572,-8.755,-5.796,-3.634,-3.027,-2.591,-6.226,-7.368,-6.742,-4.465,-2.501,0.000,-7.645,0.314,-1.776,-4.250,-6.415,-11.696,-544.798,-289.718,14.557,59.965,20.065
83880.275,301.641,0.969,14.951,108.269,105.053,-8.322,-5.350,-4.382,-3.235,-2.051,-6.538,-7.795,-6.421,-5.024,-3.022,-0.527,-6.902,-0.314,-2.090,-3.939,-7.316,-11.707,-544.798,-289.718,14.557,59.965,20.055
83888.338,301.638,0.969,14.966,108.506,104.733,-8.863,-5.461,-4.275,-2.818,-2.051,-5.604,-7.902,-6.849,-4.465,-3.022,-0.843,-6.584,0.105,-2.403,-4.457,-6.078,-11.696,-544.798,-289.718,14.557,59.981,20.055
83888.338,301.638,0.969,14.966,108.506,104.572,-9.944,-4.904,-3.954,-3.444,-1.835,-5.707,-7.154,-6.635,-4.800,-2.397,-0.843,-7.114,0.105,-1.776,-4.042,-6.303,-11.696,-544.798,-289.718,14.557,59.965,20.065
83888.338,301.638,0.969,14.966,108.506,104.733,-8.106,-6.130,-4.061,-3.131,-2.483,-6.641,-6.727,-6.314,-5.247,-2.917,-0.633,-7.752,0.105,-2.090,-4.250,-6.640,-11.717,-544.798,-289.718,14.557,59.981,20.034
83884.307,301.639,0.969,14.967,108.506,104.572,-8.755,-4.793,-4.489,-3.444,-1.727,-6.330,-6.513,-6.421,-4.242,-2.605,0.106,-7.008,-0.836,-1.672,-3.939,-6.078,-11.707,-544.798,-289.718,14.557,59.948,20.044
83884.307,301.638,0.969,14.961,108.427,104.733,-8.863,-5.796,-3.848,-3.340,-1.727,-5.707,-7.581,-6.635,-4.354,-2.188,-0.843,-7.008,-0.105,-3.134,-4.353,-6.528,-11.686,-544.798,-289.718,14.557,59.948,20.055
83884.307,301.638,0.969,14.961,108.427,104.733,-8.863,-5.573,-3.741,-3.131,-2.915,-5.915,-6.620,-7.277,-4.912,-2.188,-0.105,-7.327,0.105,-1.881,-4.457,-5.852,-11.707,-544.798,-289.718,14.557,59.948,20.075
83884.307,301.639,0.969,14.967,108.506,105.053,-8.863,-5.573,-4.168,-3.235,-1.727,-6.226,-7.047,-6.528,-5.247,-2.188,-0.316,-7.327,-0.314,-1.881,-3.731,-7.203,-11.707,-544.798,-289.718,14.557,59.981,20.014
83880.275,301.639,0.969,14.967,108.506,104.893,-9.187,-5.573,-4.916,-3.131,-1.943,-6.123,-7.154,-6.742,-4.242,-3.438,-0.527,-7.221,-0.000,-2.090,-4.250,-5.965,-11.696,-544.798,-289.718,14.557,59.965,20.044
83880.275,301.641,0.969,14.962,108.427,104.572,-8.863,-5.238,-3.206,-3.757,-1.619,-5.915,-7.047,-6.742,-4.689,-2.709,-1.160,-7.327,-0.209,-2.821,-4.146,-6.078,-11.707,-544.798,-289.718,14.557,59.965,20.055
83888.338,301.641,0.969,14.961,108.427,104.733,-8.539,-5.573,-3.848,-2.714,-2.591,-5.915,-7.154,-6.207,-4.800,-2.084,0.317,-7.858,-0.105,-2.090,-4.561,-6.415,-11.675,-544.798,-289.718,14.557,59.981,20.055
83880.275,301.639,0.969,14.967,108.506,104.893,-8.431,-5.796,-4.275,-3.235,-1.619,-6.538,-7.047,-6.528,-5.024,-2.605,-0.949,-6.796,-0.418,-2.403,-3.731,-7.090,-11.675,-544.798,-289.718,14.557,59.965,20.055
83888.338,301.643,0.969,14.972,108.585,104.893,-8.539,-5.796,-4.061,-3.444,-2.591,-6.019,-7.688,-6.956,-4.465,-3.230,-0.316,-7.221,-0.209,-2.508,-4.042,-6.415,-11.707,-544.798,-289.718,14.557,59.965,20.055
83880.275,301.641,0.969,14.967,108.506,104.733,-9.403,-5.684,-4.168,-3.235,-1.835,-5.915,-6.941,-7.170,-5.135,-1.980,-0.843,-7.221,-0.314,-2.403,-4.042,-6.190,-11.707,-544.798,-289.718,14.557,59.965,20.055
83876.244,301.639,0.969,14.962,108.427,105.213,-8.431,-6.576,-4.489,-3.340,-1.835,-6.330,-7.154,-6.528,-5.247,-2.709,-0.316,-7.114,0.105,-1.881,-3.731,-6.303,-11.707,-544.798,-289.718,14.557,59.948,20.044
83884.307,301.641,0.969,14.967,108.506,104.893,-8.647,-5.796,-4.809,-3.340,-2.051,-6.538,-6.834,-6.528,-3.907,-3.230,-0.843,-6.902,-0.418,-2.194,-4.457,-6.190,-11.696,-544.798,-289.718,14.557,59.965,20.065
83880.275,301.644,0.969,14.967,108.506,105.213,-8.539,-5.238,-3.634,-4.070,-2.159,-6.641,-7.474,-7.063,-4.354,-2.188,-0.211,-7.539,-0.105,-3.134,-4.042,-6.415,-11.696,-544.798,-289.718,14.557,59.981,20.034
83884.307,301.641,0.969,14.961,108.427,105.053,-8.971,-5.684,-3.848,-3.235,-2.807,-6.226,-7.368,-7.598,-4.912,-2.709,-0.738,-7.539,-0.523,-2.299,-4.871,-6.528,-11.696,-544.798,-289.718,14.557,60.014,20.065
83880.275,301.641,0.969,14.956,108.348,105.053,-8.647,-5.796,-4.596,-2.922,-1.943,-6.330,-7.154,-6.421,-5.582,-2.501,-0.527,-7.114,-0.523,-2.403,-4.561,-7.316,-11.696,-544.798,-289.718,14.557,59.965,20.065
83884.307,301.639,0.969,14.956,108.348,105.053,-9.079,-5.573,-4.703,-3.235,-2.051,-6.226,-7.902,-6.528,-4.354,-3.334,-0.527,-7.114,0.105,-2.925,-4.146,-6.078,-11.686,-544.798,-289.718,14.557,59.948,20.055
