%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83940.746,301.101,0.971,24.985,303.140,299.437,-4.971,-1.449,-0.214,0.627,1.190,-4.151,-3.310,-3.745,-1.786,0.626,2.641,-3.716,1.885,0.628,-1.451,-3.602,-1.857,-544.798,-289.718,14.557,-89.977,-47.023
83936.715,301.101,0.971,24.983,303.061,299.437,-5.944,-2.006,-0.641,-0.418,-0.108,-3.009,-4.378,-4.173,-1.228,1.357,3.380,-3.716,2.618,0.733,-0.829,-2.702,-1.868,-544.798,-289.718,14.557,-90.010,-47.023
83936.715,301.101,0.971,24.983,303.061,299.757,-6.268,-2.452,-0.428,-0.522,0.216,-3.321,-3.844,-5.457,-1.675,0.835,2.641,-3.929,2.409,1.465,-1.451,-2.702,-1.857,-544.798,-289.718,14.557,-89.994,-47.002
83940.746,301.101,0.971,24.976,302.903,299.117,-4.971,-2.118,0.214,0.314,1.298,-2.594,-3.524,-3.210,-2.568,1.357,3.275,-4.354,2.827,1.151,-1.244,-3.152,-1.857,-544.798,-289.718,14.557,-90.026,-46.992
83932.683,301.102,0.971,24.980,302.982,299.597,-5.403,-1.560,-1.069,0.105,1.081,-2.594,-3.417,-3.852,-0.670,-0.000,3.486,-3.929,2.409,1.151,-1.140,-2.927,-1.857,-544.798,-289.718,14.557,-90.010,-46.992
83940.746,301.101,0.971,24.976,302.903,299.277,-5.619,-2.229,-0.855,-0.835,0.433,-3.425,-4.591,-4.815,-1.116,0.731,2.218,-4.141,2.513,0.209,-0.829,-2.814,-1.868,-544.798,-289.718,14.557,-90.010,-47.013
83932.683,301.101,0.971,24.973,302.824,299.437,-5.511,-2.563,-0.214,0.314,0.216,-3.010,-3.630,-4.922,-1.563,1.357,3.063,-4.141,2.723,1.361,-1.658,-2.927,-1.826,-544.798,-289.718,14.557,-90.010,-47.002
83940.746,301.102,0.971,24.966,302.666,299.277,-5.727,-2.229,-0.641,-0.418,0.216,-3.529,-4.164,-4.066,-2.568,0.835,2.958,-4.035,2.513,1.570,-0.933,-3.264,-1.847,-544.798,-289.718,14.557,-89.994,-46.982
83940.746,301.101,0.971,24.969,302.745,299.437,-5.295,-1.783,-1.283,-0.209,0.108,-3.633,-4.164,-4.708,-1.116,-0.000,2.430,-4.672,2.513,0.314,-1.451,-3.490,-1.857,-544.798,-289.718,14.557,-90.010,-47.002
83940.746,301.101,0.971,24.972,302.824,299.597,-6.268,-2.563,-0.534,-0.522,0.216,-2.906,-4.271,-4.815,-1.674,1.044,2.218,-4.247,2.723,0.628,-1.658,-2.589,-1.868,-544.798,-289.718,14.557,-89.977,-47.002
83940.746,301.101,0.971,24.972,302.824,299.597,-5.079,-2.452,-0.534,0.105,-0.108,-2.802,-3.417,-3.638,-1.674,1.148,3.063,-4.460,2.827,0.837,-1.658,-2.814,-1.857,-544.798,-289.718,14.557,-90.026,-47.013
83932.683,301.101,0.971,24.970,302.745,299.437,-5.187,-2.229,-1.069,-0.000,0.541,-3.633,-3.737,-3.745,-1.563,0.522,2.641,-3.823,2.827,0.523,-1.347,-3.377,-1.857,-544.798,-289.718,14.557,-90.010,-47.013
83932.683,301.101,0.971,24.973,302.824,299.277,-6.268,-2.118,-0.641,-0.209,-0.000,-3.217,-5.019,-4.815,-1.339,0.313,2.852,-3.610,3.560,0.419,-1.451,-2.702,-1.878,-544.798,-289.718,14.557,-90.010,-47.023
83936.715,301.099,0.971,24.976,302.903,299.437,-5.727,-1.895,-0.641,-0.104,0.324,-3.321,-3.630,-5.457,-1.897,1.148,1.901,-3.823,3.037,1.361,-1.244,-2.927,-1.868,-544.798,-289.718,14.557,-90.026,-47.002
83936.715,301.102,0.971,24.966,302.666,299.437,-5.187,-3.121,-0.000,-0.000,0.433,-3.010,-4.271,-4.815,-2.344,0.209,2.852,-4.566,2.723,1.361,-1.658,-3.377,-1.857,-544.798,-289.718,14.557,-89.994,-47.013
83936.715,301.104,0.971,24.973,302.824,299.597,-5.295,-1.672,-0.855,0.209,0.541,-3.321,-3.951,-4.066,-1.563,0.731,3.063,-3.929,2.408,0.942,-1.347,-3.377,-1.868,-544.798,-289.718,14.557,-90.010,-47.002
83920.589,301.102,0.971,24.975,302.824,299.757,-5.404,-2.452,-0.962,-0.939,0.108,-3.114,-4.698,-4.708,-2.121,0.104,2.113,-4.672,2.513,0.209,-1.555,-2.814,-1.868,-544.798,-289.718,14.557,-90.010,-47.013
83932.683,301.101,0.971,24.970,302.745,299.757,-5.945,-2.563,-0.641,-0.104,0.324,-2.906,-3.417,-4.280,-1.563,1.148,2.852,-3.610,3.037,1.465,-1.555,-2.927,-1.868,-544.798,-289.718,14.557,-90.010,-47.023
83932.683,301.102,0.971,24.967,302.666,299.597,-5.080,-3.009,-1.069,-0.104,0.108,-3.321,-3.844,-4.173,-2.679,0.835,2.641,-4.247,2.304,1.151,-0.829,-3.490,-1.868,-544.798,-289.718,14.557,-90.026,-47.013
83928.652,301.101,0.971,24.961,302.508,299.597,-4.972,-1.895,-1.603,-0.731,0.649,-3.114,-3.951,-4.601,-1.563,-0.000,2.641,-4.354,1.885,1.047,-1.658,-3.602,-1.857,-544.798,-289.718,14.557,-90.026,-47.002
83932.683,301.101,0.971,24.967,302.666,299.437,-5.836,-3.121,-0.748,-0.522,0.216,-3.321,-4.164,-5.136,-1.451,0.626,2.535,-4.247,3.141,0.419,-1.451,-2.927,-1.878,-544.798,-289.718,14.557,-90.026,-47.013
83936.715,301.102,0.971,24.963,302.587,299.597,-5.512,-1.895,-0.214,-0.104,0.216,-2.698,-3.951,-4.815,-1.786,0.626,2.535,-4.141,2.513,1.256,-1.658,-2.927,-1.857,-544.798,-289.718,14.557,-90.042,-47.013
83932.683,301.102,0.971,24.964,302.587,299.757,-5.188,-1.783,-0.534,-0.313,1.406,-2.802,-3.737,-3.531,-2.232,1.044,3.063,-3.929,2.932,1.047,-1.140,-3.602,-1.878,-544.798,-289.718,14.557,-90.010,-47.013
83932.683,301.101,0.971,24.967,302.666,299.597,-5.620,-2.341,-1.283,-0.104,0.216,-3.425,-4.698,-4.815,-1.563,-0.417,2.535,-4.035,2.618,0.942,-1.347,-2.476,-1.889,-544.798,-289.718,14.557,-90.010,-46.992
83924.621,301.102,0.971,24.958,302.429,299.597,-5.728,-2.118,-0.855,-0.209,-0.108,-3.217,-3.951,-4.708,-1.786,1.253,2.324,-3.610,2.932,0.942,-0.933,-3.264,-1.889,-544.798,-289.718,14.557,-90.010,-47.023
83932.683,301.102,0.971,24.967,302.666,299.757,-4.864,-3.009,-0.428,-0.104,-0.648,-3.425,-3.737,-4.494,-1.340,0.835,3.169,-4.247,2.827,1.047,-1.555,-3.264,-1.889,-544.798,-289.718,14.557,-89.977,-46.992
83932.683,301.099,0.971,24.960,302.508,299.757,-5.836,-2.229,-1.283,-0.939,0.325,-4.774,-4.485,-5.136,-2.121,0.209,2.324,-4.035,2.304,0.942,-1.555,-3.377,-1.899,-544.798,-289.718,14.557,-90.010,-47.033
83924.621,301.101,0.971,24.962,302.508,299.437,-4.972,-2.006,-0.428,0.209,0.865,-2.698,-3.737,-4.173,-1.786,1.253,3.486,-3.823,3.246,0.733,-1.347,-3.264,-1.889,-544.798,-289.718,14.557,-90.010,-47.013
83936.715,301.101,0.971,24.957,302.429,299.757,-6.053,-1.895,-0.641,0.418,0.541,-2.491,-3.417,-4.387,-1.116,1.148,2.958,-3.504,3.560,1.465,-0.829,-2.589,-1.878,-544.798,-289.718,14.557,-90.010,-47.013
83932.683,301.101,0.971,24.960,302.508,299.757,-4.648,-2.229,-0.107,0.627,0.757,-2.076,-3.203,-4.173,-1.898,1.357,3.169,-4.672,2.932,1.361,-0.622,-2.702,-1.878,-544.798,-289.718,14.557,-90.010,-47.013
83928.652,301.102,0.971,24.958,302.429,299.597,-5.188,-2.006,-1.283,-0.313,0.757,-3.010,-3.951,-3.745,-1.005,0.731,2.958,-4.141,2.408,0.942,-0.829,-2.702,-1.889,-544.798,-289.718,14.557,-89.994,-47.013
83932.683,301.101,0.971,24.957,302.429,299.437,-5.296,-1.783,0.214,-0.313,1.190,-1.764,-3.630,-3.959,-1.116,1.357,2.958,-3.929,3.770,0.837,-0.933,-2.589,-1.899,-544.798,-289.718,14.557,-89.994,-47.023
83936.715,301.104,0.971,24.953,302.350,299.597,-4.972,-2.118,-0.000,0.418,0.649,-2.595,-3.417,-4.280,-1.563,1.148,2.641,-4.035,2.408,1.675,-1.244,-2.927,-1.889,-544.798,-289.718,14.557,-89.994,-47.033
83932.683,301.101,0.971,24.957,302.429,299.437,-4.972,-3.121,-0.428,-0.313,0.433,-2.698,-3.737,-3.745,-1.563,1.044,3.486,-3.716,3.351,1.675,-0.622,-3.264,-1.878,-544.798,-289.718,14.557,-90.010,-47.013
83932.683,301.101,0.971,24.954,302.350,299.597,-5.512,-2.229,-0.855,0.314,0.757,-2.906,-3.844,-4.494,-1.228,-0.104,2.958,-3.716,3.037,0.628,-0.622,-2.814,-1.868,-544.798,-289.718,14.557,-89.994,-47.002
83936.715,301.102,0.971,24.957,302.429,299.597,-5.945,-2.341,-0.321,-0.522,0.649,-2.802,-3.844,-4.066,-2.121,1.461,2.113,-4.460,2.827,0.628,-0.933,-2.927,-1.899,-544.798,-289.718,14.557,-90.010,-47.013
83936.715,301.102,0.971,24.953,302.350,299.597,-5.296,-2.898,-0.321,0.000,-0.432,-2.906,-3.630,-4.601,-1.451,0.939,3.169,-4.035,2.932,2.407,-1.140,-2.814,-1.878,-544.798,-289.718,14.557,-90.010,-47.002
83936.715,301.102,0.971,24.957,302.429,299.597,-5.404,-2.229,-0.748,-0.104,1.082,-3.424,-3.524,-3.745,-1.228,1.044,3.169,-3.504,2.932,1.256,-0.415,-3.602,-1.878,-544.798,-289.718,14.557,-89.994,-47.013
83932.683,301.101,0.971,24.960,302.508,299.437,-6.053,-2.118,-1.069,-0.209,0.216,-2.906,-4.698,-4.922,-1.786,-0.208,2.746,-3.823,2.408,0.105,-1.036,-3.152,-1.868,-544.798,-289.718,14.557,-89.977,-47.002
83936.715,301.104,0.971,24.953,302.350,299.437,-5.945,-2.006,-0.641,0.105,0.865,-3.217,-3.524,-4.708,-1.451,1.566,2.218,-3.929,3.037,0.628,-0.829,-3.039,-1.889,-544.798,-289.718,14.557,-90.026,-47.023
83940.746,301.102,0.971,24.956,302.429,299.437,-5.296,-2.898,-0.855,0.000,0.216,-2.698,-3.524,-4.173,-1.116,1.148,3.169,-4.460,3.037,1.361,-1.347,-3.264,-1.899,-544.798,-289.718,14.557,-89.977,-46.992
83936.715,301.104,0.971,24.953,302.350,299.437,-5.296,-1.672,-0.855,0.105,1.190,-3.424,-3.417,-3.959,-1.340,0.835,2.746,-4.141,1.780,1.047,-1.451,-3.715,-1.889,-544.798,-289.718,14.557,-90.010,-47.002
