%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82828.081,302.272,0.955,14.869,105.531,103.703,-6.592,-3.455,-1.603,-1.252,-0.540,-4.150,-5.766,-5.565,-3.572,-1.146,1.268,-5.309,1.571,-0.627,-2.902,-4.389,-3.534,-544.798,-289.718,14.557,-179.805,-13.722
82832.112,302.273,0.955,14.852,105.294,103.864,-7.024,-3.678,-1.924,-1.044,-0.648,-4.565,-5.125,-5.993,-3.237,-0.833,0.739,-5.522,1.152,-0.209,-2.177,-4.389,-3.534,-544.798,-289.718,14.557,-179.837,-13.732
82836.144,302.272,0.955,14.863,105.452,103.543,-6.592,-4.012,-2.244,-1.566,-0.540,-4.358,-5.125,-5.030,-3.683,-0.521,1.901,-5.946,1.571,-0.209,-2.695,-5.065,-3.523,-544.798,-289.718,14.557,-179.821,-13.732
82836.144,302.272,0.955,14.863,105.452,103.864,-6.484,-3.232,-2.885,-1.148,-0.432,-4.980,-5.232,-5.030,-2.456,-1.146,1.056,-5.097,0.524,0.105,-2.695,-4.502,-3.523,-544.798,-289.718,14.557,-179.837,-13.722
82836.144,302.272,0.955,14.874,105.610,103.864,-6.700,-3.567,-1.710,-2.401,-0.756,-4.358,-5.553,-4.923,-3.014,-0.313,0.951,-5.416,1.361,-1.149,-3.006,-4.727,-3.523,-544.798,-289.718,14.557,-179.837,-13.722
82836.144,302.273,0.955,14.863,105.452,103.703,-6.592,-4.235,-2.351,-1.357,-0.972,-4.150,-5.125,-5.672,-3.349,-0.833,1.268,-5.840,1.256,-0.522,-2.902,-5.402,-3.523,-544.798,-289.718,14.557,-179.837,-13.722
82840.175,302.273,0.955,14.868,105.531,103.703,-6.484,-3.790,-2.565,-1.357,-0.108,-5.084,-5.659,-5.137,-3.349,-0.938,1.162,-4.991,1.256,-0.522,-2.591,-5.290,-3.513,-544.798,-289.718,14.557,-179.853,-13.732
82836.144,302.272,0.955,14.869,105.531,103.703,-6.376,-3.678,-2.351,-1.983,-0.540,-4.358,-6.193,-5.565,-3.125,-1.042,1.268,-5.522,1.361,-0.836,-3.006,-4.164,-3.502,-544.798,-289.718,14.557,-179.821,-13.743
82840.175,302.273,0.955,14.868,105.531,103.703,-7.457,-3.901,-2.244,-1.566,-0.972,-4.877,-5.232,-5.993,-3.014,-0.521,0.634,-5.203,1.780,0.105,-2.799,-4.840,-3.534,-544.798,-289.718,14.557,-179.805,-13.722
82840.175,302.272,0.955,14.868,105.531,103.864,-6.592,-4.570,-2.351,-1.252,-0.756,-4.773,-4.912,-5.244,-3.795,-1.354,0.845,-5.946,1.256,-0.836,-2.488,-4.727,-3.523,-544.798,-289.718,14.557,-179.805,-13.732
