%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83154.624,299.364,0.968,15.036,109.393,108.573,-7.458,-4.235,-2.138,-1.253,-0.864,-4.670,-5.446,-6.100,-3.126,-0.313,1.479,-5.735,1.885,-0.313,-3.524,-5.291,-4.523,-544.798,-289.718,14.557,-89.951,-25.016
83162.687,299.366,0.968,15.036,109.393,108.893,-6.593,-4.681,-2.351,-1.566,-0.432,-4.981,-6.193,-5.671,-4.019,-1.042,0.845,-5.947,1.780,-0.418,-2.384,-4.840,-4.491,-544.798,-289.718,14.557,-89.951,-25.006
83150.592,299.364,0.968,15.048,109.551,108.733,-6.701,-3.678,-3.099,-1.253,-1.079,-4.566,-6.086,-5.671,-2.903,-1.980,0.845,-4.885,1.047,-0.731,-2.384,-4.728,-4.502,-544.798,-289.718,14.557,-89.951,-25.016
83158.655,299.364,0.968,15.042,109.472,108.733,-7.350,-3.678,-2.351,-2.192,-0.756,-4.462,-5.659,-5.778,-3.796,-1.042,0.423,-5.204,1.885,-0.940,-2.177,-4.953,-4.481,-544.798,-289.718,14.557,-89.951,-25.016
83158.655,299.367,0.968,15.047,109.551,108.573,-6.917,-4.012,-2.351,-1.670,-1.619,-4.877,-5.659,-5.671,-3.461,-0.834,1.373,-5.841,1.152,-0.522,-3.213,-4.503,-4.491,-544.798,-289.718,14.557,-89.935,-24.995
83158.655,299.367,0.968,15.042,109.472,108.733,-7.133,-4.124,-2.779,-1.670,-0.432,-5.500,-5.125,-5.457,-3.572,-1.146,0.739,-5.204,1.570,-0.627,-2.695,-6.078,-4.481,-544.798,-289.718,14.557,-89.951,-25.016
83162.687,299.367,0.968,15.041,109.472,108.573,-7.782,-4.235,-2.779,-1.670,-1.403,-5.189,-6.300,-5.885,-3.572,-1.771,0.528,-5.841,1.570,-0.940,-2.798,-4.840,-4.491,-544.798,-289.718,14.557,-89.951,-24.995
83158.655,299.367,0.968,15.036,109.393,108.733,-7.674,-4.235,-2.351,-2.088,-0.972,-5.189,-5.339,-6.421,-3.237,-0.729,0.423,-5.522,1.361,-0.313,-3.006,-4.953,-4.481,-544.798,-289.718,14.557,-89.951,-25.016
83154.624,299.366,0.968,15.042,109.472,108.413,-6.917,-5.238,-2.458,-1.461,-1.511,-5.292,-5.980,-5.671,-3.572,-1.563,1.162,-6.584,1.256,-0.940,-3.213,-5.065,-4.481,-544.798,-289.718,14.557,-89.967,-24.995
83158.655,299.366,0.968,15.031,109.314,108.733,-7.998,-3.901,-2.244,-1.461,-0.864,-6.019,-5.552,-5.457,-2.902,-1.042,0.423,-5.204,0.523,-0.522,-2.695,-4.840,-4.491,-544.798,-289.718,14.557,-89.967,-25.026
