%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82771.641,301.402,0.957,25.038,299.881,296.793,-6.485,-3.455,-1.603,-0.835,-0.864,-4.047,-5.125,-5.565,-3.014,-0.104,2.113,-5.309,1.989,0.314,-2.798,-3.939,-4.585,-544.798,-289.718,14.557,-90.119,-34.891
82771.641,301.404,0.957,25.038,299.881,296.793,-6.269,-3.567,-1.176,-0.626,0.000,-4.151,-4.485,-5.029,-3.125,0.522,1.796,-4.672,1.885,0.314,-1.658,-4.614,-4.575,-544.798,-289.718,14.557,-90.136,-34.881
82763.579,301.404,0.957,25.049,300.118,297.114,-5.837,-2.786,-2.031,-1.566,-0.540,-4.255,-5.339,-5.350,-2.679,-1.250,1.584,-4.991,2.094,-0.209,-1.969,-3.939,-4.575,-544.798,-289.718,14.557,-90.119,-34.881
82771.641,301.406,0.957,25.032,299.723,296.953,-6.809,-3.678,-1.710,-1.461,0.108,-4.151,-4.485,-5.458,-3.125,0.313,1.162,-4.354,2.199,0.105,-1.555,-4.052,-4.564,-544.798,-289.718,14.557,-90.136,-34.891
82771.641,301.404,0.957,25.035,299.802,296.473,-5.404,-3.567,-1.283,-0.417,-1.079,-3.943,-4.698,-4.601,-2.567,0.313,2.007,-6.053,1.780,0.209,-2.488,-4.277,-4.585,-544.798,-289.718,14.557,-90.119,-34.901
82763.579,301.402,0.957,25.036,299.802,296.793,-6.701,-3.009,-2.351,-1.252,-0.756,-4.358,-5.019,-5.136,-2.790,-0.417,1.690,-4.778,1.466,0.000,-2.073,-3.827,-4.575,-544.798,-289.718,14.557,-90.087,-34.871
82771.641,301.404,0.957,25.038,299.881,296.953,-5.837,-2.675,-1.283,-1.461,-0.324,-3.632,-5.446,-4.922,-2.567,0.417,1.479,-4.885,2.932,-0.522,-1.969,-3.714,-4.575,-544.798,-289.718,14.557,-90.136,-34.881
82763.579,301.404,0.957,25.033,299.723,296.793,-5.620,-3.232,-0.855,-0.104,-0.324,-3.632,-4.378,-5.993,-2.456,0.209,2.430,-4.247,2.094,1.047,-2.488,-3.602,-4.575,-544.798,-289.718,14.557,-90.119,-34.891
82771.641,301.409,0.957,25.028,299.644,296.793,-5.837,-3.567,-1.710,-1.044,-0.216,-4.151,-4.912,-4.922,-3.014,0.209,2.324,-4.566,2.199,0.523,-1.451,-4.052,-4.575,-544.798,-289.718,14.557,-90.119,-34.912
82771.641,301.406,0.957,25.035,299.802,297.114,-5.620,-2.675,-1.283,-0.835,0.324,-3.113,-4.485,-4.708,-1.451,-0.938,2.113,-4.247,2.094,0.419,-2.384,-3.602,-4.575,-544.798,-289.718,14.557,-90.136,-34.901
82771.641,301.406,0.957,25.035,299.802,296.953,-6.701,-3.344,-1.496,-0.835,0.108,-3.424,-4.591,-5.457,-2.233,0.522,1.796,-4.354,2.722,0.314,-1.762,-4.052,-4.585,-544.798,-289.718,14.557,-90.119,-34.891
82767.610,301.407,0.957,25.032,299.723,296.793,-5.188,-3.567,-1.283,-0.835,-0.432,-4.047,-4.058,-4.601,-2.233,0.104,1.902,-5.946,2.303,0.733,-2.177,-4.277,-4.585,-544.798,-289.718,14.557,-90.136,-34.901
82775.673,301.404,0.957,25.031,299.723,296.473,-6.161,-2.786,-2.351,-1.148,-0.432,-4.151,-4.591,-4.494,-2.009,-0.313,1.479,-5.097,1.571,0.628,-1.969,-4.052,-4.585,-544.798,-289.718,14.557,-90.119,-34.901
82775.673,301.406,0.957,25.031,299.723,296.953,-6.053,-2.341,-1.176,-0.939,-0.324,-3.736,-5.766,-4.494,-2.009,0.000,1.690,-4.672,2.199,-0.313,-2.384,-4.052,-4.585,-544.798,-289.718,14.557,-90.119,-34.881
82779.704,301.407,0.957,25.030,299.723,296.633,-6.485,-2.786,-1.496,-0.835,-0.108,-4.151,-4.485,-5.243,-2.121,-0.104,1.479,-5.097,2.303,0.419,-2.798,-3.939,-4.585,-544.798,-289.718,14.557,-90.119,-34.901
82775.673,301.406,0.957,25.034,299.802,296.793,-6.269,-3.344,-1.710,-0.731,0.324,-3.736,-4.698,-4.815,-2.903,0.104,1.902,-4.991,2.408,0.523,-1.658,-4.840,-4.596,-544.798,-289.718,14.557,-90.136,-34.912
82783.736,301.407,0.957,25.030,299.723,296.953,-5.620,-2.786,-1.817,-1.252,0.108,-3.632,-4.912,-5.136,-2.121,-0.729,1.690,-5.309,1.989,0.105,-2.177,-3.939,-4.575,-544.798,-289.718,14.557,-90.136,-34.881
82783.736,301.406,0.957,25.033,299.802,296.953,-7.025,-3.121,-1.817,-1.148,0.324,-3.528,-4.271,-4.922,-2.009,0.209,1.373,-4.885,2.094,0.105,-1.555,-3.602,-4.575,-544.798,-289.718,14.557,-90.136,-34.881
82783.736,301.406,0.957,25.023,299.565,296.953,-5.728,-3.009,-1.069,-0.731,-0.216,-4.047,-4.271,-4.815,-2.791,0.000,2.324,-5.946,2.513,0.105,-1.658,-4.389,-4.616,-544.798,-289.718,14.557,-90.136,-34.901
82779.704,301.409,0.957,25.031,299.723,297.114,-6.161,-2.786,-1.496,-0.835,0.324,-4.358,-4.271,-4.601,-2.456,-0.104,1.268,-4.566,1.675,0.314,-1.658,-4.614,-4.585,-544.798,-289.718,14.557,-90.136,-34.891
82783.736,301.406,0.957,25.030,299.723,297.114,-6.161,-3.121,-1.283,-1.566,-0.324,-3.943,-5.019,-5.136,-2.009,0.209,1.796,-5.097,2.199,-0.209,-1.762,-3.939,-4.596,-544.798,-289.718,14.557,-90.152,-34.881
82787.767,301.409,0.957,25.033,299.802,296.793,-6.053,-3.678,-1.496,-0.522,0.216,-3.943,-4.698,-5.672,-2.568,0.209,1.690,-5.203,1.571,0.000,-2.488,-4.052,-4.596,-544.798,-289.718,14.557,-90.103,-34.881
82787.767,301.406,0.957,25.039,299.960,297.434,-5.512,-3.455,-1.924,-0.939,0.108,-4.047,-5.232,-4.815,-3.461,0.626,1.902,-4.672,2.199,0.314,-1.658,-4.727,-4.596,-544.798,-289.718,14.557,-90.136,-34.891
82775.673,301.406,0.957,25.031,299.723,297.274,-6.161,-2.452,-2.138,-0.417,-0.216,-3.943,-5.125,-4.708,-2.009,-0.625,1.690,-5.415,1.885,0.419,-2.384,-3.714,-4.606,-544.798,-289.718,14.557,-90.152,-34.881
82779.704,301.406,0.957,25.037,299.881,297.114,-7.134,-2.898,-1.710,-2.192,0.108,-3.943,-5.232,-4.922,-2.233,0.626,0.951,-5.097,2.303,0.209,-1.658,-3.376,-4.596,-544.798,-289.718,14.557,-90.136,-34.901
82791.798,301.404,0.957,25.038,299.960,297.274,-5.404,-3.567,-1.389,-0.313,-0.324,-3.736,-4.485,-5.136,-1.898,0.000,3.064,-5.309,2.408,0.419,-2.488,-4.052,-4.585,-544.798,-289.718,14.557,-90.119,-34.891
82779.704,301.407,0.957,25.034,299.802,297.274,-5.945,-2.452,-1.924,-0.522,0.216,-4.566,-4.591,-4.922,-1.675,-0.208,1.268,-4.991,1.780,-0.104,-1.762,-4.389,-4.596,-544.798,-289.718,14.557,-90.103,-34.901
82779.704,301.406,0.957,25.040,299.960,297.434,-5.945,-2.563,-1.283,-0.417,-0.108,-3.528,-5.019,-4.708,-2.233,0.522,1.690,-4.460,2.408,-0.522,-1.658,-3.939,-4.596,-544.798,-289.718,14.557,-90.087,-34.881
82787.767,301.407,0.957,25.033,299.802,297.274,-6.485,-3.009,-1.389,-1.357,-0.432,-3.943,-5.125,-5.993,-2.568,0.000,1.902,-4.672,2.303,0.105,-1.969,-3.939,-4.616,-544.798,-289.718,14.557,-90.136,-34.891
82783.736,301.406,0.957,25.036,299.881,297.434,-5.404,-3.455,-1.283,-0.522,0.649,-3.943,-4.912,-4.922,-2.456,0.104,1.690,-5.097,2.199,0.419,-1.762,-4.840,-4.606,-544.798,-289.718,14.557,-90.119,-34.891
82787.767,301.404,0.957,25.036,299.881,297.434,-6.269,-2.786,-2.565,-0.939,-0.108,-3.736,-4.805,-4.815,-1.898,0.104,2.007,-4.354,2.303,0.105,-0.933,-3.827,-4.616,-544.798,-289.718,14.557,-90.136,-34.891
82779.704,301.406,0.957,25.034,299.802,297.594,-6.269,-3.009,-0.962,-0.731,0.324,-3.736,-5.019,-5.350,-2.791,0.000,1.057,-4.991,1.361,-0.104,-2.488,-4.389,-4.616,-544.798,-289.718,14.557,-90.119,-34.891
82771.641,301.404,0.957,25.038,299.881,297.434,-6.053,-3.789,-1.389,-1.044,-0.648,-4.047,-4.698,-5.565,-2.568,0.000,1.690,-5.415,2.408,0.837,-2.280,-4.052,-4.606,-544.798,-289.718,14.557,-90.119,-34.891
82775.673,301.406,0.957,25.041,299.960,297.114,-5.620,-3.009,-2.031,-1.566,-0.000,-4.566,-4.912,-4.708,-2.344,-0.104,1.585,-4.247,1.152,0.000,-2.073,-4.614,-4.596,-544.798,-289.718,14.557,-90.119,-34.891
82771.641,301.407,0.957,25.042,299.960,297.434,-5.945,-2.452,-1.710,-0.939,0.216,-4.047,-5.232,-4.708,-2.568,0.209,1.690,-4.672,2.618,-0.731,-2.073,-4.277,-4.596,-544.798,-289.718,14.557,-90.119,-34.891
82779.704,301.406,0.957,25.040,299.960,297.114,-6.485,-3.455,-1.389,-0.626,-0.540,-4.151,-4.591,-5.672,-2.679,0.209,1.902,-4.991,2.199,0.419,-2.280,-4.614,-4.606,-544.798,-289.718,14.557,-90.119,-34.891
82779.704,301.406,0.957,25.040,299.960,297.434,-5.837,-3.789,-1.283,-0.313,0.649,-4.047,-4.805,-4.387,-2.679,0.626,2.219,-5.097,2.408,0.733,-1.969,-4.277,-4.606,-544.798,-289.718,14.557,-90.103,-34.871
82775.673,301.406,0.957,25.034,299.802,297.274,-5.728,-3.121,-2.244,-0.626,0.108,-3.736,-4.912,-4.815,-1.675,-0.521,2.113,-4.566,2.513,-0.104,-2.073,-3.827,-4.596,-544.798,-289.718,14.557,-90.119,-34.881
82783.736,301.406,0.957,25.043,300.039,297.274,-6.593,-3.121,-1.283,-1.774,-0.000,-3.943,-5.125,-4.815,-2.344,0.418,1.585,-4.778,2.408,0.000,-1.969,-3.714,-4.585,-544.798,-289.718,14.557,-90.103,-34.881
82775.673,301.407,0.957,25.041,299.960,297.274,-5.512,-3.009,-0.748,-0.626,-0.648,-3.528,-4.164,-4.601,-2.233,-0.208,2.430,-5.415,2.408,0.314,-2.384,-3.602,-4.575,-544.798,-289.718,14.557,-90.136,-34.871
82779.704,301.404,0.957,25.034,299.802,297.274,-6.485,-3.121,-2.138,-1.148,0.433,-4.566,-4.164,-4.601,-2.121,0.313,2.324,-4.247,1.361,0.314,-2.177,-4.614,-4.596,-544.798,-289.718,14.557,-90.103,-34.891
82779.704,301.404,0.957,25.040,299.960,297.114,-6.269,-3.567,-1.924,-1.566,-0.216,-4.566,-5.446,-5.029,-2.679,-0.729,1.162,-5.628,2.094,-0.731,-2.591,-3.939,-4.575,-544.798,-289.718,14.557,-90.152,-34.901
82767.610,301.406,0.957,25.039,299.881,297.114,-6.809,-3.344,-1.283,-0.835,-0.756,-3.736,-4.805,-5.993,-1.898,0.418,1.902,-4.885,2.513,0.105,-2.177,-3.602,-4.596,-544.798,-289.718,14.557,-90.136,-34.881
82771.641,301.402,0.957,25.031,299.723,297.274,-5.728,-3.344,-1.069,-1.044,0.216,-3.736,-4.698,-4.280,-3.349,0.522,1.796,-5.203,2.303,0.523,-1.866,-4.277,-4.596,-544.798,-289.718,14.557,-90.136,-34.901
82771.641,301.407,0.957,25.038,299.881,296.953,-7.025,-3.009,-2.672,-0.939,-0.108,-4.047,-4.805,-5.243,-2.568,-0.834,1.479,-4.566,2.094,0.628,-1.866,-3.714,-4.606,-544.798,-289.718,14.557,-90.119,-34.891
82763.579,301.406,0.957,25.036,299.802,297.114,-6.269,-3.455,-1.389,-1.357,-0.432,-4.358,-4.485,-5.243,-2.009,0.104,1.268,-5.097,1.989,-0.209,-1.969,-3.714,-4.596,-544.798,-289.718,14.557,-90.136,-34.881
82771.641,301.406,0.957,25.035,299.802,297.114,-5.404,-3.009,-1.176,-0.626,-0.324,-3.943,-4.698,-4.601,-2.121,0.418,2.324,-4.991,2.722,0.733,-2.384,-3.602,-4.585,-544.798,-289.718,14.557,-90.103,-34.901
82775.673,301.402,0.957,25.028,299.644,297.114,-5.620,-2.675,-1.603,-0.522,0.216,-4.462,-4.805,-4.815,-2.568,-0.313,1.796,-4.991,1.361,-0.000,-2.073,-4.614,-4.585,-544.798,-289.718,14.557,-90.103,-34.901
82775.673,301.407,0.957,25.031,299.723,296.793,-5.728,-3.344,-2.031,-0.731,-0.432,-3.217,-5.019,-5.243,-2.344,-0.104,1.796,-4.991,2.722,0.209,-1.451,-3.827,-4.585,-544.798,-289.718,14.557,-90.103,-34.891
82767.610,301.409,0.957,25.032,299.723,296.953,-5.728,-3.009,-1.389,-0.626,0.108,-3.424,-4.698,-5.672,-2.233,0.104,1.479,-4.672,2.094,1.047,-2.384,-4.052,-4.585,-544.798,-289.718,14.557,-90.119,-34.891
82767.610,301.406,0.957,25.036,299.802,296.793,-6.377,-3.901,-1.176,-0.835,0.433,-3.840,-4.271,-4.387,-3.014,0.313,2.113,-4.778,2.618,0.628,-1.555,-4.164,-4.575,-544.798,-289.718,14.557,-90.119,-34.901
82767.610,301.407,0.957,25.036,299.802,296.793,-6.161,-2.341,-2.138,-0.835,-0.108,-3.632,-4.698,-4.815,-2.009,-0.625,1.902,-5.203,2.408,0.419,-2.073,-2.926,-4.585,-544.798,-289.718,14.557,-90.136,-34.901
82771.641,301.402,0.957,25.031,299.723,296.793,-6.593,-2.786,-0.962,-1.148,0.433,-3.840,-4.164,-4.387,-2.344,0.731,1.479,-4.991,2.722,-0.000,-1.762,-4.389,-4.554,-544.798,-289.718,14.557,-90.103,-34.891
82771.641,301.404,0.957,25.035,299.802,296.793,-5.728,-3.232,-1.603,-0.731,-0.648,-4.358,-4.591,-4.922,-2.456,-0.313,2.324,-5.734,1.780,0.105,-2.280,-4.052,-4.564,-544.798,-289.718,14.557,-90.136,-34.891
82771.641,301.406,0.957,25.028,299.644,296.793,-5.728,-3.009,-1.389,-0.835,0.216,-4.566,-4.485,-4.066,-2.456,0.313,1.796,-4.991,1.989,-0.000,-1.866,-4.502,-4.596,-544.798,-289.718,14.557,-90.119,-34.881
82771.641,301.407,0.957,25.035,299.802,296.793,-5.837,-2.452,-0.962,-0.939,-0.324,-3.528,-5.232,-4.280,-2.233,-0.313,2.219,-5.097,1.885,-0.627,-2.384,-4.277,-4.575,-544.798,-289.718,14.557,-90.119,-34.891
82771.641,301.406,0.957,25.032,299.723,296.633,-7.134,-3.232,-1.817,-1.252,-0.432,-3.736,-4.164,-5.350,-1.898,0.626,1.268,-4.885,2.303,0.105,-2.488,-4.277,-4.575,-544.798,-289.718,14.557,-90.119,-34.912
82771.641,301.406,0.957,25.032,299.723,296.473,-5.945,-3.344,-1.924,-0.835,-0.108,-4.047,-5.125,-4.815,-3.572,-0.104,1.268,-5.946,1.780,-0.313,-1.866,-4.727,-4.575,-544.798,-289.718,14.557,-90.152,-34.881
82775.673,301.402,0.957,25.031,299.723,296.473,-6.269,-2.898,-2.138,-0.417,0.324,-4.255,-4.591,-5.029,-2.121,-0.938,1.479,-5.309,1.571,0.314,-1.762,-4.052,-4.564,-544.798,-289.718,14.557,-90.136,-34.912
82763.579,301.404,0.957,25.026,299.565,296.953,-6.053,-3.121,-2.031,-2.192,-0.108,-4.047,-5.232,-5.458,-3.460,-0.521,0.740,-5.309,1.571,-0.836,-2.695,-3.827,-4.564,-544.798,-289.718,14.557,-90.119,-34.891
82775.673,301.407,0.957,25.034,299.802,296.313,-6.269,-3.789,-2.031,-0.731,-0.432,-3.528,-4.805,-5.029,-2.790,0.104,2.007,-5.840,1.571,0.209,-2.280,-3.376,-4.554,-544.798,-289.718,14.557,-90.119,-34.881
82767.610,301.406,0.957,25.032,299.723,296.953,-6.269,-3.121,-1.603,-1.566,-0.108,-4.670,-4.698,-4.815,-2.567,-0.417,2.219,-4.991,1.571,0.000,-2.073,-5.065,-4.564,-544.798,-289.718,14.557,-90.103,-34.891
82771.641,301.407,0.957,25.032,299.723,296.473,-6.377,-3.344,-1.817,-1.774,-0.756,-3.840,-5.232,-5.565,-2.567,-0.313,1.796,-4.885,2.303,-0.104,-2.591,-3.714,-4.554,-544.798,-289.718,14.557,-90.136,-34.891
82779.704,301.406,0.957,25.027,299.644,297.114,-6.809,-3.232,-1.389,-1.148,-0.216,-3.528,-4.805,-5.779,-2.790,0.522,1.373,-4.460,2.199,-0.104,-1.555,-4.502,-4.564,-544.798,-289.718,14.557,-90.136,-34.881
82775.673,301.407,0.957,25.031,299.723,296.953,-6.053,-3.678,-1.283,-0.626,-0.432,-4.047,-4.378,-4.815,-2.679,0.418,2.430,-5.203,3.036,0.942,-1.244,-3.827,-4.554,-544.798,-289.718,14.557,-90.136,-34.901
82767.610,301.404,0.957,25.032,299.723,296.953,-5.837,-2.675,-1.817,-0.626,0.324,-3.736,-4.805,-5.136,-2.009,-0.938,1.373,-5.097,1.989,0.733,-2.073,-3.714,-4.564,-544.798,-289.718,14.557,-90.136,-34.891
82771.641,301.406,0.957,25.028,299.644,296.953,-6.053,-3.009,-1.069,-1.566,0.216,-3.528,-4.378,-4.815,-2.567,0.209,1.902,-4.247,2.408,-0.209,-1.244,-3.602,-4.575,-544.798,-289.718,14.557,-90.136,-34.881
82767.610,301.407,0.957,25.032,299.723,296.953,-5.728,-3.121,-0.962,-0.522,-0.324,-3.943,-4.591,-5.029,-2.456,0.000,2.113,-4.991,2.303,0.733,-2.695,-3.602,-4.554,-544.798,-289.718,14.557,-90.119,-34.901
82775.673,301.406,0.957,25.034,299.802,296.953,-5.728,-2.675,-1.710,-1.148,0.541,-3.736,-4.485,-4.601,-2.567,0.209,2.007,-4.035,2.199,0.000,-1.969,-4.164,-4.564,-544.798,-289.718,14.557,-90.119,-34.881
82771.641,301.404,0.957,25.028,299.644,297.274,-5.837,-2.563,-1.176,-1.044,-0.324,-3.528,-5.552,-4.708,-2.679,-0.417,1.585,-5.097,2.303,-0.522,-2.591,-3.827,-4.564,-544.798,-289.718,14.557,-90.152,-34.871
82779.704,301.406,0.957,25.030,299.723,297.114,-7.025,-3.232,-1.283,-0.939,0.324,-3.840,-4.164,-5.565,-1.898,0.731,1.690,-4.566,2.722,0.523,-2.280,-3.827,-4.564,-544.798,-289.718,14.557,-90.119,-34.871
82779.704,301.402,0.957,25.034,299.802,297.274,-5.296,-4.347,-1.283,-0.731,-0.540,-4.462,-5.019,-5.029,-3.460,-0.208,1.690,-5.415,2.408,0.209,-1.555,-4.840,-4.564,-544.798,-289.718,14.557,-90.119,-34.891
82775.673,301.406,0.957,25.038,299.881,297.274,-6.269,-2.563,-2.351,-0.939,-0.432,-4.358,-4.378,-5.672,-2.791,-0.729,1.162,-5.522,1.571,0.209,-2.280,-3.939,-4.564,-544.798,-289.718,14.557,-90.119,-34.891
82783.736,301.406,0.957,25.036,299.881,297.434,-5.837,-3.344,-1.283,-1.983,-0.000,-4.047,-5.446,-4.815,-2.791,0.209,1.479,-4.885,2.408,-0.313,-1.762,-3.602,-4.575,-544.798,-289.718,14.557,-90.119,-34.891
82779.704,301.404,0.957,25.040,299.960,297.274,-6.377,-3.121,-1.496,-0.939,-0.432,-3.321,-4.912,-5.458,-2.456,0.104,2.007,-5.097,1.780,0.105,-2.695,-4.277,-4.554,-544.798,-289.718,14.557,-90.136,-34.901
82775.673,301.402,0.957,25.034,299.802,297.594,-6.161,-3.567,-2.244,-0.835,0.108,-4.358,-4.912,-5.029,-2.903,-0.313,1.373,-4.885,1.780,-0.313,-2.073,-4.840,-4.575,-544.798,-289.718,14.557,-90.119,-34.881
82779.704,301.404,0.957,25.040,299.960,297.434,-5.945,-3.455,-2.351,-0.522,-0.324,-3.943,-5.980,-5.136,-2.009,-0.834,2.113,-4.354,2.408,0.000,-1.762,-3.489,-4.585,-544.798,-289.718,14.557,-90.136,-34.891
82783.736,301.404,0.957,25.043,300.039,297.434,-6.377,-2.898,-1.283,-1.148,-0.108,-3.632,-4.698,-5.993,-2.568,0.000,1.268,-5.203,1.989,0.105,-2.591,-4.164,-4.575,-544.798,-289.718,14.557,-90.136,-34.871
82779.704,301.401,0.957,25.037,299.881,297.594,-5.620,-3.789,-1.817,-0.939,-0.216,-3.943,-5.019,-4.815,-2.456,0.731,2.324,-5.309,2.303,0.628,-1.555,-3.827,-4.585,-544.798,-289.718,14.557,-90.119,-34.891
82775.673,301.401,0.957,25.044,300.039,297.434,-5.620,-2.452,-1.496,-1.148,0.108,-4.255,-4.591,-4.708,-1.563,-0.208,2.219,-4.460,2.094,0.523,-1.762,-4.164,-4.585,-544.798,-289.718,14.557,-90.119,-34.881
82775.673,301.399,0.957,25.041,299.960,297.434,-5.512,-2.675,-1.176,-1.044,0.324,-3.736,-5.019,-4.494,-1.898,0.209,1.796,-5.203,2.513,-0.418,-1.969,-3.489,-4.585,-544.798,-289.718,14.557,-90.119,-34.881
82779.704,301.402,0.957,25.040,299.960,297.594,-5.945,-3.121,-1.389,-0.417,-0.648,-4.047,-4.591,-5.886,-2.121,0.626,2.007,-4.672,2.827,0.209,-2.280,-3.939,-4.585,-544.798,-289.718,14.557,-90.119,-34.891
82783.736,301.402,0.957,25.036,299.881,297.434,-5.404,-3.344,-1.710,-0.835,0.649,-3.943,-4.912,-4.708,-2.568,0.209,2.324,-4.247,2.722,0.628,-1.451,-4.164,-4.575,-544.798,-289.718,14.557,-90.103,-34.891
82775.673,301.402,0.957,25.037,299.881,297.754,-6.053,-2.898,-1.710,-0.731,-0.324,-3.528,-5.125,-5.243,-2.121,-0.417,2.007,-4.460,2.827,0.837,-1.555,-3.151,-4.596,-544.798,-289.718,14.557,-90.119,-34.891
82779.704,301.404,0.957,25.044,300.039,297.434,-6.053,-2.452,-1.069,-0.731,0.108,-3.632,-3.951,-5.243,-2.009,0.626,1.585,-4.991,1.989,0.314,-1.866,-3.939,-4.596,-544.798,-289.718,14.557,-90.119,-34.881
82779.704,301.402,0.957,25.037,299.881,297.594,-6.161,-4.347,-2.138,-1.357,-0.432,-4.151,-5.019,-5.779,-2.791,-0.313,2.007,-5.734,1.675,-0.418,-2.280,-3.939,-4.596,-544.798,-289.718,14.557,-90.119,-34.881
