%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83130.435,299.282,0.968,14.970,108.422,107.719,-7.782,-4.235,-2.458,-1.879,-0.756,-4.567,-5.979,-5.778,-3.683,-0.521,0.317,-5.204,1.570,-0.940,-2.591,-4.615,-3.773,-16.832,4.516,-1.293,59.952,-25.047
83122.373,299.282,0.968,14.970,108.422,107.719,-6.809,-5.015,-2.458,-1.670,-1.187,-5.086,-5.873,-5.778,-3.795,-1.250,1.056,-6.478,1.256,-0.731,-3.317,-5.178,-3.783,-16.659,4.597,-1.295,59.936,-25.037
83130.435,299.280,0.968,14.953,108.185,107.399,-6.917,-3.455,-2.244,-1.879,-0.864,-5.293,-5.659,-5.671,-3.795,-1.250,1.056,-5.735,0.942,-0.627,-3.006,-5.741,-3.773,-16.505,4.679,-1.297,59.936,-25.047
83134.467,299.282,0.968,14.969,108.422,107.399,-7.025,-4.124,-1.924,-1.879,-1.187,-4.359,-6.407,-5.885,-3.349,-1.146,1.162,-5.416,1.885,-1.045,-3.006,-4.953,-3.783,-16.332,4.770,-1.298,59.952,-25.047
83130.435,299.283,0.968,14.975,108.501,107.559,-7.674,-4.012,-2.565,-1.566,-0.972,-5.086,-5.339,-6.956,-3.460,-0.834,0.634,-5.841,1.361,-0.627,-3.006,-4.953,-3.773,-16.178,4.831,-1.298,59.919,-25.037
83122.373,299.282,0.968,14.960,108.264,107.559,-6.917,-4.681,-2.565,-1.566,-0.324,-4.982,-5.125,-5.136,-3.572,-0.834,1.373,-6.160,1.570,-0.209,-2.280,-4.277,-3.783,-16.062,4.892,-1.300,59.919,-25.037
83134.467,299.282,0.968,14.969,108.422,107.559,-6.809,-3.678,-3.527,-1.148,-0.864,-4.774,-5.766,-5.564,-2.679,-2.084,1.056,-5.098,1.466,-0.731,-3.213,-5.178,-3.794,-15.908,4.973,-1.300,59.919,-25.047
83134.467,299.279,0.968,14.953,108.185,107.719,-6.917,-3.789,-1.817,-1.775,-0.432,-4.774,-6.193,-6.099,-3.125,-0.729,0.423,-5.947,1.570,-1.567,-2.591,-4.728,-3.763,-15.812,5.055,-1.301,59.936,-25.037
83122.373,299.279,0.968,14.965,108.343,107.399,-6.917,-4.012,-2.138,-1.775,-1.079,-4.982,-5.446,-6.314,-3.014,-0.313,1.162,-5.629,1.675,0.000,-3.006,-4.840,-3.773,-15.696,5.126,-1.303,59.952,-25.037
83138.498,299.279,0.968,14.963,108.343,107.559,-7.242,-4.124,-2.672,-2.296,-0.648,-5.086,-5.446,-5.243,-3.572,-0.834,1.268,-5.629,1.152,-0.627,-2.695,-5.853,-3.773,-15.600,5.207,-1.303,59.952,-25.047
