%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83791.584,300.988,0.970,24.980,302.591,300.219,-7.133,-3.901,-2.886,-1.566,-0.756,-5.500,-5.232,-4.922,-2.344,-0.208,1.901,-3.929,1.256,-0.209,-1.762,-4.503,-1.451,-544.798,-289.718,14.557,-90.017,-57.038
83787.553,300.988,0.970,24.978,302.512,300.059,-6.485,-3.009,-1.389,-1.148,-0.864,-4.255,-5.552,-5.243,-2.009,0.313,2.007,-4.885,2.094,-0.731,-2.488,-4.052,-1.451,-544.798,-289.718,14.557,-89.985,-57.028
83783.522,300.988,0.970,24.985,302.670,300.059,-7.458,-3.455,-1.710,-1.253,-0.864,-4.670,-5.125,-6.635,-2.790,0.313,1.690,-4.991,2.199,0.209,-2.280,-3.827,-1.451,-544.798,-289.718,14.557,-90.017,-57.007
83783.522,300.990,0.970,24.981,302.591,300.379,-6.053,-4.124,-1.389,-0.939,-0.216,-4.462,-5.125,-5.136,-4.018,-0.834,1.373,-5.840,1.466,-0.104,-2.591,-4.390,-1.451,-544.798,-289.718,14.557,-90.001,-57.028
83783.522,300.990,0.970,24.985,302.670,300.059,-6.809,-2.675,-2.565,-1.148,-0.108,-4.151,-4.591,-5.243,-2.009,-0.208,2.007,-4.991,1.047,0.419,-2.695,-4.165,-1.430,-544.798,-289.718,14.557,-90.001,-57.038
83791.584,300.991,0.970,24.987,302.749,300.379,-7.133,-3.678,-2.031,-2.088,-0.756,-4.358,-5.339,-5.564,-2.679,-0.000,1.162,-5.203,1.885,-1.045,-2.280,-3.940,-1.441,-544.798,-289.718,14.557,-90.001,-57.028
83783.522,300.991,0.970,24.988,302.749,300.219,-5.945,-3.567,-1.496,-1.148,-0.756,-3.943,-5.339,-5.886,-2.679,-0.208,2.113,-5.097,0.942,-0.000,-3.006,-4.503,-1.441,-544.798,-289.718,14.557,-90.001,-57.028
83783.522,300.991,0.970,24.995,302.907,300.219,-6.701,-3.901,-2.031,-1.148,-0.324,-4.670,-4.698,-4.601,-2.679,0.209,1.796,-4.460,2.094,0.314,-1.762,-3.940,-1.472,-544.798,-289.718,14.557,-90.001,-57.038
83783.522,300.990,0.970,24.985,302.670,300.059,-6.269,-2.675,-1.817,-0.835,-0.108,-3.943,-5.232,-5.136,-2.121,-1.250,1.901,-5.415,1.466,-0.522,-2.591,-3.264,-1.451,-544.798,-289.718,14.557,-90.001,-57.048
83787.553,300.988,0.970,24.991,302.828,300.219,-7.025,-3.121,-1.710,-1.357,0.216,-3.632,-4.485,-4.815,-1.898,0.104,1.690,-4.354,1.780,-0.209,-2.488,-3.827,-1.441,-544.798,-289.718,14.557,-90.001,-57.017
83791.584,300.990,0.970,24.987,302.749,300.219,-6.161,-4.347,-1.924,-1.253,-0.864,-4.151,-4.591,-5.029,-2.344,-0.208,2.746,-4.991,2.199,0.733,-1.866,-3.152,-1.472,-544.798,-289.718,14.557,-90.001,-57.038
83787.553,300.990,0.970,24.991,302.828,300.379,-5.188,-2.452,-1.389,-0.731,0.324,-4.462,-4.485,-4.922,-2.121,0.000,2.324,-5.097,1.675,0.419,-2.177,-4.728,-1.462,-544.798,-289.718,14.557,-89.985,-57.038
83783.522,300.993,0.970,24.991,302.828,300.059,-6.809,-3.009,-1.924,-1.670,-0.864,-4.047,-5.339,-5.029,-2.456,-0.834,2.218,-4.672,2.199,-0.418,-1.866,-3.377,-1.483,-544.798,-289.718,14.557,-90.001,-57.028
83787.553,300.991,0.970,24.987,302.749,300.379,-6.701,-2.898,-1.603,-0.522,0.541,-4.047,-4.164,-5.136,-2.344,-0.208,2.218,-5.097,1.571,0.209,-2.798,-3.827,-1.462,-544.798,-289.718,14.557,-90.017,-57.007
83779.490,300.993,0.970,24.989,302.749,300.379,-6.161,-3.901,-1.603,-0.835,-0.540,-4.462,-4.912,-4.815,-3.237,0.104,2.007,-5.097,2.408,0.942,-1.969,-4.728,-1.451,-544.798,-289.718,14.557,-89.985,-57.017
