%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83142.530,301.064,0.962,15.096,109.630,108.762,-7.242,-4.570,-2.031,-1.983,-0.540,-5.293,-5.232,-5.350,-3.907,-0.938,1.268,-5.841,0.942,-0.731,-2.384,-5.628,0.000,-544.798,-289.718,14.557,37.790,-21.965
83138.498,301.061,0.962,15.102,109.709,109.082,-8.106,-3.901,-3.527,-1.983,-0.540,-4.670,-5.446,-5.564,-3.349,-1.459,0.423,-5.841,0.733,-0.836,-2.695,-4.953,0.000,-544.798,-289.718,14.557,37.823,-21.975
83142.530,301.062,0.962,15.107,109.788,109.082,-7.566,-4.235,-2.245,-2.401,-0.648,-4.567,-5.552,-5.564,-2.902,-0.938,0.951,-6.160,1.361,-1.567,-3.006,-4.503,0.000,-544.798,-289.718,14.557,37.806,-21.965
83138.498,301.061,0.962,15.097,109.630,108.922,-7.782,-4.570,-2.459,-1.566,-1.511,-4.670,-5.766,-5.671,-3.237,-1.250,0.951,-5.841,0.628,-0.836,-3.524,-4.840,0.000,-544.798,-289.718,14.557,37.823,-21.965
83146.561,301.062,0.962,15.107,109.788,108.922,-7.674,-4.681,-2.672,-1.983,-0.972,-5.397,-5.766,-5.564,-4.353,-1.459,0.951,-5.947,0.942,-1.358,-2.695,-5.628,0.000,-544.798,-289.718,14.557,37.806,-21.975
83134.467,301.061,0.962,15.103,109.709,108.762,-7.242,-3.789,-2.352,-1.670,-0.756,-5.397,-6.300,-5.992,-3.572,-2.084,0.951,-5.416,0.733,-1.045,-3.213,-4.503,0.000,-544.798,-289.718,14.557,37.806,-21.955
83150.592,301.061,0.962,15.101,109.709,108.762,-8.106,-4.347,-2.459,-2.192,-0.864,-4.774,-5.659,-6.207,-3.907,-0.938,0.423,-5.947,0.942,-1.045,-3.109,-4.953,0.000,-544.798,-289.718,14.557,37.823,-21.975
83142.530,301.062,0.962,15.096,109.630,108.602,-7.890,-4.793,-2.352,-2.192,-1.727,-5.293,-5.873,-5.885,-3.349,-1.042,1.268,-6.266,0.838,-0.627,-3.420,-4.840,0.000,-544.798,-289.718,14.557,37.806,-21.965
83146.561,301.064,0.962,15.091,109.551,109.082,-7.242,-4.124,-2.886,-1.775,-0.540,-5.708,-5.232,-5.778,-3.237,-1.042,1.056,-5.947,1.047,-0.731,-3.317,-5.403,0.000,-544.798,-289.718,14.557,37.790,-21.955
83146.561,301.062,0.962,15.107,109.788,108.602,-7.782,-4.458,-2.138,-2.088,-0.972,-4.982,-6.086,-5.243,-2.456,-1.146,1.162,-5.522,1.675,-1.045,-2.695,-4.390,0.000,-544.798,-289.718,14.557,37.790,-21.965
