%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83739.176,298.924,0.976,25.280,311.833,308.839,-7.998,-5.238,-3.206,-2.610,-1.403,-5.604,-6.940,-6.207,-4.130,-2.501,-0.316,-6.584,1.047,-1.463,-3.213,-5.291,-9.520,20.853,14.794,3.120,-90.013,-45.085
83739.176,298.926,0.976,25.276,311.754,308.679,-8.106,-4.681,-2.565,-3.236,-0.972,-5.396,-6.407,-6.314,-4.354,-1.042,-0.738,-6.584,0.105,-2.090,-3.317,-5.966,-9.510,20.853,14.835,3.117,-89.980,-45.085
83747.239,298.921,0.976,25.275,311.754,308.519,-7.674,-5.461,-3.527,-2.296,-1.403,-5.500,-6.834,-5.885,-4.019,-2.292,0.211,-7.009,0.209,-1.463,-4.250,-5.741,-9.531,20.872,14.824,3.115,-90.013,-45.085
83739.176,298.924,0.976,25.276,311.754,308.519,-7.890,-4.347,-3.314,-1.879,-1.079,-5.604,-6.086,-6.314,-3.796,-2.188,0.211,-6.478,-0.105,-1.776,-3.835,-7.092,-9.499,20.872,14.814,3.113,-89.996,-45.095
83731.113,298.926,0.976,25.284,311.912,308.519,-8.539,-4.458,-3.527,-2.505,-1.619,-5.707,-6.940,-6.528,-3.349,-2.396,0.106,-6.372,0.523,-2.194,-3.524,-5.853,-9.531,20.872,14.855,3.110,-89.996,-45.095
83743.208,298.922,0.976,25.276,311.754,308.999,-8.971,-4.681,-2.993,-2.818,-1.727,-6.020,-6.513,-6.742,-4.465,-2.084,-0.633,-6.903,0.628,-2.090,-4.250,-5.516,-9.531,20.872,14.896,3.106,-89.996,-45.085
83747.239,298.924,0.976,25.278,311.833,308.519,-7.674,-6.241,-3.527,-2.296,-1.511,-5.293,-6.407,-5.885,-4.019,-1.563,0.317,-6.903,1.152,-1.358,-3.524,-5.516,-9.520,20.834,14.916,3.104,-89.996,-45.085
83743.208,298.926,0.976,25.276,311.754,308.519,-7.890,-4.458,-4.062,-2.714,-1.511,-6.020,-6.300,-6.099,-3.572,-2.188,0.317,-6.372,0.209,-0.940,-3.109,-5.966,-9.499,20.872,14.997,3.102,-89.996,-45.085
83751.270,298.921,0.976,25.274,311.754,308.199,-7.458,-4.458,-2.993,-2.401,-1.403,-5.189,-6.834,-6.421,-3.907,-1.771,-0.422,-6.584,0.523,-2.821,-4.042,-6.304,-9.489,20.892,15.058,3.098,-90.029,-45.054
83743.208,298.924,0.976,25.276,311.754,308.359,-9.295,-5.907,-3.527,-3.132,-1.619,-5.916,-6.300,-6.849,-3.796,-1.355,0.211,-5.735,0.628,-1.254,-3.524,-5.741,-9.499,20.911,15.139,3.096,-89.996,-45.095
83743.208,298.922,0.976,25.273,311.675,308.359,-7.674,-5.350,-3.741,-2.296,-0.972,-5.708,-6.940,-6.314,-5.358,-2.084,-0.422,-7.222,0.209,-1.358,-3.524,-6.191,-9.499,20.969,15.211,3.093,-89.980,-45.075
83739.176,298.922,0.976,25.270,311.596,308.519,-7.890,-3.789,-3.848,-2.192,-1.295,-5.189,-6.620,-5.457,-3.684,-2.396,0.211,-6.478,0.314,-1.149,-3.524,-5.628,-9.479,21.007,15.312,3.089,-89.980,-45.085
83747.239,298.921,0.976,25.275,311.754,308.199,-8.214,-4.793,-3.314,-3.445,-1.187,-5.604,-7.154,-5.992,-3.907,-1.355,0.106,-6.797,0.942,-2.194,-3.109,-4.840,-9.510,20.988,15.414,3.086,-89.980,-45.106
83751.270,298.924,0.976,25.275,311.754,308.199,-7.025,-5.015,-2.993,-2.088,-1.511,-5.397,-6.513,-6.421,-3.684,-1.980,0.634,-6.903,0.314,-0.940,-4.042,-5.516,-9.499,21.046,15.515,3.083,-89.964,-45.085
83751.270,298.926,0.976,25.278,311.833,308.199,-7.674,-5.461,-3.741,-2.818,-1.187,-6.123,-6.300,-6.099,-4.800,-1.667,0.211,-6.372,0.733,-1.254,-3.006,-6.191,-9.489,21.084,15.647,3.080,-89.980,-45.085
83739.176,298.926,0.976,25.270,311.596,308.039,-7.782,-4.793,-3.421,-2.192,-1.835,-5.604,-6.407,-6.635,-4.019,-2.813,0.000,-7.009,0.419,-1.567,-3.524,-4.840,-9.468,21.122,15.769,3.078,-90.013,-45.095
83739.176,298.926,0.976,25.273,311.675,308.039,-8.322,-5.350,-3.634,-2.818,-1.619,-5.397,-6.193,-6.314,-4.019,-1.771,-0.844,-6.691,0.314,-2.507,-3.317,-6.416,-9.468,21.161,15.891,3.075,-89.980,-45.085
83743.208,298.924,0.976,25.273,311.675,307.878,-7.890,-5.573,-3.741,-2.505,-2.051,-5.812,-6.620,-6.314,-4.019,-1.876,0.740,-6.372,0.838,-1.881,-3.835,-4.953,-9.479,21.180,15.993,3.073,-89.996,-45.085
83739.176,298.924,0.976,25.270,311.596,308.199,-7.674,-4.793,-3.100,-2.192,-1.295,-6.020,-5.979,-5.992,-4.577,-1.667,0.528,-6.266,0.314,-1.881,-3.731,-6.979,-9.489,21.238,16.145,3.071,-89.996,-45.065
83751.270,298.924,0.976,25.271,311.675,307.878,-7.674,-4.681,-3.100,-2.818,-1.943,-4.982,-6.834,-6.207,-3.684,-2.188,0.423,-6.053,1.256,-1.149,-3.317,-5.403,-9.499,21.219,16.277,3.068,-89.996,-45.085
83743.208,298.927,0.976,25.276,311.754,308.039,-8.106,-4.793,-2.886,-2.505,-1.403,-4.982,-6.300,-6.207,-4.131,-1.459,-1.265,-6.797,-0.000,-1.672,-3.731,-4.953,-9.479,21.257,16.420,3.067,-90.013,-45.085
83751.270,298.924,0.976,25.275,311.754,307.878,-7.566,-6.019,-3.421,-2.610,-1.403,-5.397,-6.086,-5.992,-4.242,-1.563,0.634,-7.009,0.419,-0.940,-3.628,-6.078,-9.468,21.296,16.562,3.065,-90.013,-45.095
83747.239,298.926,0.976,25.272,311.675,308.039,-8.214,-4.458,-4.062,-2.923,-2.051,-6.850,-6.940,-6.849,-3.684,-2.084,-0.527,-6.478,0.105,-1.254,-3.835,-6.078,-9.447,21.315,16.714,3.063,-89.996,-45.085
83751.270,298.926,0.976,25.271,311.675,308.039,-7.458,-4.012,-2.886,-2.296,-1.295,-4.982,-7.154,-5.992,-3.796,-1.563,-0.211,-6.584,0.628,-1.567,-4.146,-5.966,-9.479,21.392,16.867,3.060,-89.980,-45.085
