%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83960.903,301.264,0.971,25.020,303.889,301.558,-6.377,-2.563,-0.534,-0.626,-0.216,-3.113,-4.271,-4.601,-1.563,1.357,3.064,-3.823,3.664,0.209,-0.726,-2.589,-1.493,-544.798,-289.718,14.557,210.007,-47.033
83960.903,301.264,0.971,25.026,304.047,301.398,-4.756,-2.118,-0.534,0.627,0.649,-2.906,-3.310,-4.708,-1.563,1.148,2.641,-4.248,2.408,0.837,-2.073,-3.490,-1.514,-544.798,-289.718,14.557,210.007,-47.033
83956.872,301.265,0.971,25.024,303.968,301.558,-5.728,-3.455,-0.962,-0.313,0.649,-3.632,-4.164,-4.494,-2.233,0.835,2.747,-3.717,2.722,1.361,-1.036,-3.377,-1.514,-544.798,-289.718,14.557,209.991,-47.053
83960.903,301.264,0.971,25.023,303.968,301.558,-5.188,-2.675,-1.389,-0.209,0.433,-3.113,-3.951,-4.280,-1.451,0.104,2.430,-4.036,2.827,1.047,-1.244,-2.476,-1.503,-544.798,-289.718,14.557,209.975,-47.053
83964.934,301.269,0.971,25.023,303.968,301.718,-5.945,-1.672,-0.534,-0.418,0.757,-2.802,-3.524,-4.280,-1.786,1.148,2.641,-3.929,3.036,0.419,-1.451,-2.251,-1.514,-544.798,-289.718,14.557,209.991,-47.043
83968.966,301.265,0.971,25.022,303.968,301.718,-5.404,-2.563,-0.962,0.105,0.216,-2.802,-4.164,-4.387,-1.340,1.148,3.275,-3.823,2.722,1.151,-1.866,-3.152,-1.514,-544.798,-289.718,14.557,209.991,-47.033
83960.903,301.265,0.971,25.026,304.047,301.718,-4.972,-2.229,-0.428,-0.418,0.757,-4.151,-3.844,-4.922,-2.009,0.104,2.852,-4.354,2.513,0.419,-1.244,-3.827,-1.493,-544.798,-289.718,14.557,209.991,-47.063
83960.903,301.265,0.971,25.023,303.968,301.238,-5.728,-2.341,-0.641,-0.209,0.324,-2.491,-4.378,-4.280,-1.451,0.835,2.852,-4.036,2.722,1.361,-1.140,-2.476,-1.503,-544.798,-289.718,14.557,209.975,-47.053
83960.903,301.267,0.971,25.020,303.889,301.558,-6.269,-2.118,-0.534,0.000,0.757,-2.802,-3.844,-5.136,-1.451,1.461,2.747,-3.611,3.350,1.151,-0.622,-2.589,-1.472,-544.798,-289.718,14.557,209.991,-47.043
83960.903,301.269,0.971,25.020,303.889,301.878,-5.080,-3.009,-0.855,0.209,-0.216,-3.217,-3.844,-4.601,-1.786,0.731,3.064,-5.098,2.827,1.151,-1.347,-2.814,-1.503,-544.798,-289.718,14.557,210.007,-47.043
83960.903,301.269,0.971,25.017,303.810,301.558,-5.404,-1.895,-0.855,-0.522,0.324,-3.425,-3.417,-4.494,-1.451,0.939,2.746,-3.717,2.513,0.942,-1.555,-3.152,-1.503,-544.798,-289.718,14.557,210.007,-47.033
83956.872,301.269,0.971,25.021,303.889,301.558,-5.620,-2.006,-0.000,-0.104,0.108,-3.114,-4.378,-3.959,-1.675,1.044,2.641,-3.505,3.664,0.733,-1.140,-2.589,-1.493,-544.798,-289.718,14.557,210.007,-47.053
83964.934,301.267,0.971,25.016,303.810,301.718,-5.728,-2.341,-0.534,0.314,0.757,-2.698,-4.271,-4.708,-1.340,1.670,2.641,-4.036,3.141,1.151,-1.555,-2.814,-1.493,-544.798,-289.718,14.557,209.991,-47.033
83960.903,301.270,0.971,25.020,303.889,301.558,-5.188,-2.452,-1.069,-0.313,0.433,-3.529,-3.951,-4.494,-2.344,0.731,3.169,-4.673,2.617,1.047,-0.829,-3.152,-1.503,-544.798,-289.718,14.557,210.024,-47.053
83960.903,301.269,0.971,25.017,303.810,301.398,-5.404,-1.672,-1.389,-0.209,1.081,-3.114,-3.630,-4.601,-0.670,0.731,3.380,-3.929,2.513,1.465,-0.726,-2.364,-1.472,-544.798,-289.718,14.557,210.007,-47.022
83960.903,301.269,0.971,25.020,303.889,301.558,-4.756,-1.560,0.214,0.000,0.757,-2.491,-3.844,-4.387,-1.675,1.044,2.535,-3.505,3.036,0.419,-0.933,-2.476,-1.483,-544.798,-289.718,14.557,210.007,-47.053
83964.934,301.270,0.971,25.016,303.810,301.398,-5.404,-2.341,-0.107,0.105,0.216,-3.217,-4.058,-4.708,-1.116,0.835,3.591,-4.036,3.246,1.361,-1.762,-2.589,-1.483,-544.798,-289.718,14.557,210.007,-47.033
83964.934,301.269,0.971,25.013,303.731,301.558,-5.188,-1.783,-0.321,-0.522,0.433,-3.529,-4.058,-4.601,-1.898,0.835,2.746,-3.823,2.722,1.151,-0.933,-3.715,-1.483,-544.798,-289.718,14.557,209.991,-47.043
83960.903,301.267,0.971,25.017,303.810,301.238,-5.296,-2.452,-0.855,0.209,0.216,-3.425,-4.378,-4.280,-0.893,0.104,2.852,-3.717,2.932,0.523,-1.140,-2.589,-1.472,-544.798,-289.718,14.557,209.975,-47.053
83956.872,301.269,0.971,25.011,303.652,301.718,-6.161,-2.006,-0.000,-0.626,0.973,-3.114,-3.737,-4.815,-1.898,0.835,2.535,-4.248,2.722,0.628,-0.622,-3.264,-1.483,-544.798,-289.718,14.557,209.975,-47.033
