
	47.250	-16.711	-31.935
	47.500	-16.888	-32.184
	47.750	-17.049	-32.458
	48.000	-17.207	-32.729
	48.250	-17.360	-33.014
	48.500	-17.526	-33.362
	48.750	-17.677	-33.723
	49.000	-17.837	-34.071
	49.250	-18.002	-34.473
	49.500	-18.174	-34.858
	49.750	-18.348	-35.329
	50.000	-18.472	-35.716
	50.250	-18.632	-36.140
	50.500	-18.820	-36.562
	50.750	-18.961	-37.026
	51.000	-19.131	-37.468
	51.250	-19.293	-37.918
	51.500	-19.445	-38.352
	51.750	-19.613	-38.792
	52.000	-19.776	-39.211
	52.250	-19.937	-39.624
	52.500	-20.097	-40.050
	52.750	-20.250	-40.441
	53.000	-20.417	-40.851
	53.250	-20.566	-41.264
	53.500	-20.746	-41.675
	53.750	-20.891	-42.059
	54.000	-21.040	-42.385
	54.250	-21.235	-42.746
	54.500	-21.369	-43.161
	54.750	-21.528	-43.500
	55.000	-21.688	-43.845
	55.250	-21.886	-44.182
	55.500	-22.030	-44.507
	55.750	-22.186	-44.860
	56.000	-22.379	-45.141
	56.250	-22.502	-45.470
	56.500	-22.687	-45.763
	56.750	-22.836	-46.121
	57.000	-22.991	-46.353
	57.250	-23.162	-46.673
	57.500	-23.301	-46.946
	57.750	-23.469	-47.211
	58.000	-23.623	-47.482
	58.250	-23.797	-47.745
	58.500	-23.965	-48.027
	58.750	-24.112	-48.303
	59.000	-24.292	-48.523
	59.250	-24.457	-48.791
	59.500	-24.611	-49.057
	59.750	-24.776	-49.330
	60.000	-24.936	-49.553
	60.250	-25.107	-49.777
	60.500	-25.273	-50.034
	60.750	-25.460	-50.327
	61.000	-25.587	-50.521
	61.250	-25.752	-50.735
	61.500	-25.912	-50.977
	61.750	-26.086	-51.188
	62.000	-26.236	-51.413
	62.250	-26.412	-51.669
	62.500	-26.579	-51.900
	62.750	-26.718	-52.122
	63.000	-26.908	-52.315
	63.250	-27.054	-52.564
	63.500	-27.224	-52.773
	63.750	-27.384	-53.015
	64.000	-27.541	-53.211
	64.250	-27.719	-53.415
	64.500	-27.878	-53.643
	64.750	-28.032	-53.813
	65.000	-28.205	-54.032
	65.250	-28.339	-54.257
	65.500	-28.542	-54.442
	65.750	-28.694	-54.681
	66.000	-28.841	-54.849
	66.250	-29.019	-55.051
	66.500	-29.158	-55.250
	66.750	-29.365	-55.446
	67.000	-29.480	-55.668
	67.250	-29.676	-55.873
	67.500	-29.811	-56.041
	67.750	-29.977	-56.238
	68.000	-30.137	-56.448
	68.250	-30.290	-56.638
	68.500	-30.446	-56.796
	68.750	-30.635	-56.978
	69.000	-30.791	-57.181
	69.250	-30.935	-57.400
	69.500	-31.084	-57.567
	69.750	-31.238	-57.741
	70.000	-31.418	-57.957
	70.250	-31.581	-58.124
	70.500	-31.725	-58.317
	70.750	-31.889	-58.471
	71.000	-32.034	-58.684
	71.250	-32.234	-58.859
	71.500	-32.376	-59.049
	71.750	-32.543	-59.209
	72.000	-32.677	-59.402
	72.250	-32.880	-59.577
	72.500	-33.024	-59.761
	72.750	-33.172	-59.949
	73.000	-33.313	-60.089
	73.250	-33.479	-60.285
	73.500	-33.625	-60.470
	73.750	-33.800	-60.652
	74.000	-33.972	-60.850
	74.250	-34.134	-61.016
	74.500	-34.280	-61.199
	74.750	-34.421	-61.333
	75.000	-34.582	-61.537
	75.250	-34.762	-61.703
	75.500	-34.886	-61.882
	75.750	-35.082	-62.022
	76.000	-35.229	-62.197
	76.250	-35.367	-62.401
	76.500	-35.543	-62.511
	76.750	-35.695	-62.688
	77.000	-35.820	-62.844
	77.250	-36.009	-62.996
	77.500	-36.153	-63.150
	77.750	-36.325	-63.321
	78.000	-36.488	-63.483
	78.250	-36.623	-63.626
	78.500	-36.777	-63.824
	78.750	-36.932	-63.956
	79.000	-37.077	-64.107
	79.250	-37.267	-64.258
	79.500	-37.410	-64.421
	79.750	-37.538	-64.600
	80.000	-37.740	-64.747
	80.250	-37.863	-64.912
	80.500	-38.039	-65.056
	80.750	-38.182	-65.219
	81.000	-38.328	-65.383
	81.250	-38.476	-65.535
	81.500	-38.629	-65.683
	81.750	-38.767	-65.891
	82.000	-38.940	-66.027
	82.250	-39.081	-66.166
	82.500	-39.219	-66.337
	82.750	-39.418	-66.478
	83.000	-39.538	-66.671
	83.250	-39.722	-66.798
	83.500	-39.848	-66.975
	83.750	-39.999	-67.138
	84.000	-40.169	-67.306
	84.250	-40.309	-67.460
	84.500	-40.499	-67.602
	84.750	-40.618	-67.778
	85.000	-40.779	-67.954
	85.250	-40.921	-68.110
	85.500	-41.088	-68.257
	85.750	-41.219	-68.412
	86.000	-41.397	-68.587
	86.250	-41.528	-68.748
	86.500	-41.680	-68.901
	86.750	-41.818	-69.041
	87.000	-41.967	-69.271
	87.250	-42.104	-69.395
	87.500	-42.270	-69.573
	87.750	-42.444	-69.707
	88.000	-42.553	-69.870
